D (km),h1=1.5_h2=1000,h1=1.5_h2=10000,h1=1.5_h2=20000,h1=15_h2=1000,h1=15_h2=10000,h1=15_h2=20000,h1=30_h2=1000,h1=30_h2=10000,h1=30_h2=20000,h1=60_h2=1000,h1=60_h2=10000,h1=60_h2=20000,h1=1000_h2=1000,h1=1000_h2=10000,h1=1000_h2=20000,h1=10000_h2=1000,h1=10000_h2=10000,h1=10000_h2=20000,h1=20000_h2=1000,h1=20000_h2=10000,h1=20000_h2=20000
0,118.66534094288448,138.8228263390479,144.85435748102884,118.54584274069548,138.8098292765342,144.84723065674834,118.41116115623674,138.79537939870838,144.83931724306956,118.13553122491786,138.7664516025539,144.8235067067048,0.0,137.8348698081029,144.3353713331333,0.0,0.0,138.61454937908744,0.0,0.0,0.0
1,121.31746059236588,138.80169560301846,144.82327615544642,121.29215518378696,138.79474853968193,144.8191254329593,121.26340421122956,138.78704803931456,144.81455947322715,121.2092854365641,138.77155431314088,144.80535817965784,120.48706876606822,138.25918069328938,144.52555938362457,0.0,121.70769650702462,140.59761624711743,0.0,0.0,121.791041913085
2,125.09093106745392,138.85504610619608,144.81013904878066,125.083160059221,138.8484477860844,144.80604965480683,125.0726065566677,138.8409379975279,144.8015069085533,125.06380209929507,138.826062153944,144.79242897030974,125.45204481647887,138.33627557811283,144.51573141437817,0.0,127.56448490169537,140.67616402530845,0.0,0.0,127.71611696537413
3,128.0546975414125,138.98263004127315,144.81571262833458,128.0491683936063,138.97635351845915,144.81168433247453,128.04620669082533,138.9694290331664,144.80721199909087,128.03573418980858,138.95521631415244,144.79828138562908,128.44211422697725,138.4985360276887,144.52601636083293,0.0,130.8812091502231,140.8206493012416,0.0,0.0,131.17023379536596
4,130.36206441019587,139.17949244289588,144.8401996731788,130.36092093335105,139.17345256479666,144.83627327592373,130.35990797961395,139.16687923122163,144.83185170485044,130.35521065844193,139.1541907156744,144.8230872297163,130.66119375980554,138.73460152052644,144.55650293104162,0.0,133.17945371002784,141.0255283107013,0.0,0.0,133.5841387503847
5,132.2399524513208,139.4376592295488,144.8835939224644,132.23774113792052,139.43231412642197,144.87970502363933,132.23698296394278,139.42657361927738,144.87540474787394,132.23417202030333,139.41441746469675,144.8669205736296,132.4342900820606,139.03403917053268,144.60703267135972,0.0,134.9152727644083,141.28096489795908,0.0,0.0,135.40287967164537
6,133.81718483504417,139.7479536284446,144.9457143311962,133.816850342589,139.7432934490214,144.94196156726645,133.81560776980476,139.7375599264153,144.9376798079594,133.8115214260041,139.72607228093202,144.92926978392669,133.91263163301917,139.38389546976728,144.67703193326392,0.0,136.30310034588868,141.57672676054332,0.0,0.0,136.8865287899142
7,135.17951903393424,140.0990969230522,145.02531204113723,135.17606279776933,140.0951573062153,145.0217525435317,135.17536473243268,140.09012057168076,145.0176554847079,135.17191718910294,140.07953970550463,145.00964976822308,135.18624258649956,139.7715858390164,144.76570895387366,0.0,137.46165163765787,141.90253997714177,0.0,0.0,138.12842562177397
8,136.37555642910436,140.48158217008285,145.12123770524997,136.3748225771176,140.47711651701462,145.1177093911148,136.37339741535277,140.47269268166994,145.1138540862924,136.3698058587184,140.4632606802676,145.10614737567846,136.4706923176872,140.18542421079033,144.87225390483303,0.0,138.44229894456032,142.24909528495144,0.0,0.0,139.18344650108918
9,137.44894631665176,140.88460660875796,145.22869304258333,137.44563040188228,140.8804997541592,145.22532156742147,137.44371932739338,140.87589253740566,145.22180590311876,137.4408762505009,140.8673732541038,145.21468938265616,137.4577249568069,140.61585848712872,144.99502291226582,0.0,139.30049746183056,142.6003795754055,0.0,0.0,140.10084940023222
10,138.41884823717888,141.3001620023951,145.353111064836,138.41581747234125,141.2970667028969,145.3499513629749,138.4143171928198,141.2927298498129,145.3465356228449,138.4095929415589,141.28485845924965,145.33942920745127,138.34197303915056,141.05392369884026,145.13095323843697,0.0,140.0677891086817,142.95614560375645,0.0,0.0,140.9167125112953
11,139.3057452885629,141.7227652298252,145.48878432835787,139.30296110031537,141.71988172245378,145.4855091536878,139.3010033427181,141.71567887244268,145.48233351186536,139.2967509482858,141.70818392458895,145.47535201976478,139.14683148608384,141.49520412860775,145.2748028563614,0.0,140.7540594122704,143.314725773394,0.0,0.0,141.64500011050862
12,140.12342806340902,142.146656635627,145.63544946093322,140.12179652031404,142.1438696408143,145.63244012024367,140.11963769317933,142.1401543225389,145.62905848204807,140.11481960384828,142.13326035628853,145.62231214714902,139.88305685492833,141.93491881729682,145.4310013775446,0.0,141.36706562405925,143.67274193416443,0.0,0.0,142.3016527842423
13,140.88421947777843,142.5692229952017,145.792617624823,140.8813280583093,142.565360535328,145.7895250585467,140.87954536758184,142.56211136671152,145.78627601919504,140.87382414738585,142.55567741185774,145.779800158176,140.56236871330725,142.3683471214986,145.593752712876,0.0,141.93220978086433,144.027119704816,0.0,0.0,142.90478504935822
14,141.59525045164375,142.98571291541992,145.9586722976461,141.5924835178307,142.98281176160637,145.95594340148466,141.58970239232136,142.97943808365432,145.95264760778736,141.5832969107076,142.97276638697775,145.94630249039284,141.19190245435382,142.7943406520329,145.76508100611997,0.0,142.45931837636337,144.36734569402773,0.0,0.0,143.45425362524665
15,142.2619687749571,143.39585383122323,146.13303542358676,142.25901545791214,143.3927637046851,146.13013835730413,142.25664188371238,143.38980359036975,146.12690354685446,142.25080291038026,143.38333636843194,146.12070832421855,142.02714954720545,143.21195515979412,145.94404636814969,0.0,142.94704393177042,144.6998546024306,0.0,0.0,143.960773380492
16,142.89227779285474,143.79795480894788,146.31311575518973,142.88938107539855,143.79528518188192,146.31058504720673,142.88603597529965,143.79207297919612,146.30746342257217,142.8790092954293,143.78574399241563,146.30125033470213,142.5770289320621,143.61874006442426,146.12887698255574,0.0,143.4009742690315,145.02603462143873,0.0,0.0,144.43463214208307
17,143.48895761019705,144.191356362247,146.49945260386164,143.48621440188322,144.1884143285717,146.4966712575499,143.4819779100167,144.18488305134855,146.4935670916145,143.47499170748134,144.1786572244395,146.48739246880848,143.09472699491334,144.01553055836482,146.31812504426588,0.0,143.84571952232253,145.3446107075927,0.0,0.0,144.8799150590171
18,144.05649721015217,144.57002290340446,146.69114587763465,144.05275197712635,144.5675827830341,146.688424310642,144.0496487339887,144.56451045571393,146.685074800564,144.04169942472407,144.5584705397262,146.67903782335938,143.58236283433885,144.39972188326817,146.51164823962318,0.0,144.2534728597108,145.6446042791273,0.0,0.0,145.2877142731062
19,144.59758355792604,144.9370582643555,146.88467913249065,144.594148551423,144.934063132543,146.88199971213774,144.59047248556266,144.93116191956284,146.8786780606299,144.58225092269095,144.92465441294377,146.87273958368553,144.04475278025558,144.76560664031314,146.70891424880418,0.0,144.6419918463227,145.91387426959133,0.0,0.0,145.6739781499171
20,145.1156226652915,145.29403008699444,147.08236272134224,145.11151265446952,145.29067441828522,147.0796453890831,145.1074768186812,145.2873951112448,147.0766158358947,145.0995050959812,145.28095664034095,147.07059993358672,144.49481628461257,145.11755431898766,146.90638245240194,0.0,145.0111980412448,146.16187582219752,0.0,0.0,146.04162818499182
21,145.61156741000312,145.6400984328248,147.2834721175489,145.60680073058975,145.6368013513734,147.28076048716204,145.60253172430606,145.63355821258625,147.2777383257961,145.59394435547296,145.6262892650033,147.2717402788508,145.1037553429624,145.45749555155382,147.10899118180006,0.0,145.36261336804586,146.40464263615883,0.0,0.0,146.39211816286564
22,146.08328759205534,145.97575159569865,147.4844292764193,146.07912630444852,145.97252458298627,147.48170682368567,146.07464952021522,145.96932684802266,147.47908085748733,146.06547429831355,145.96258284319964,147.473063612986,145.5036171842804,145.78710786031053,147.31169867560757,0.0,145.7059219099878,146.64243156842093,0.0,0.0,146.72427296203225
23,146.5357195412559,146.30125711303606,147.6850800811931,146.532102836323,146.29812031726988,147.682331029367,146.5273489381218,146.29498545364692,147.6796978175988,146.51743308326343,146.287839681784,147.67362602956428,146.04624226385167,146.10941465268064,147.51391387026246,0.0,146.03569597665106,146.8736051633877,0.0,0.0,147.03544442679942
24,146.9712560169979,146.619160972868,147.8883678707005,146.96660011287662,146.61615263606677,147.8856019865959,146.96214977465738,146.61205411239192,147.88249510483635,146.9518850619397,146.60505972227602,147.87612697874474,146.41288039858463,146.4244756752147,147.71408995658803,0.0,146.34809119200386,147.09852200160023,0.0,0.0,147.33424943690426
