D (km),h1=1.5_h2=1000,h1=1.5_h2=10000,h1=1.5_h2=20000,h1=15_h2=1000,h1=15_h2=10000,h1=15_h2=20000,h1=30_h2=1000,h1=30_h2=10000,h1=30_h2=20000,h1=60_h2=1000,h1=60_h2=10000,h1=60_h2=20000,h1=1000_h2=1000,h1=1000_h2=10000,h1=1000_h2=20000,h1=10000_h2=1000,h1=10000_h2=10000,h1=10000_h2=20000,h1=20000_h2=1000,h1=20000_h2=10000,h1=20000_h2=20000
0,111.91079617111014,131.9565846674286,137.9815667487177,111.79238092326445,131.94467055909388,137.97552287943105,111.6588936601218,131.9314150026622,137.9688037866677,111.3856243906268,131.90484786823075,137.95535391242308,0.0,131.03146012291478,137.52541259989036,0.0,0.0,131.91628765768633,0.0,0.0,0.0
1,114.8716903241839,131.93963879878788,137.9513635016165,114.81308068825058,131.92785958079153,137.94532851048925,114.74701346159225,131.9147947732819,137.9386535895634,114.61882685810636,131.88850341241942,137.92521469916483,111.98432956775764,131.02571471109968,137.49667502153386,0.0,111.937428457977,131.9254006641286,0.0,0.0,111.9354978145208
2,118.89394723686289,132.0073175031648,137.9418710993424,118.87034190930474,131.99601949108262,137.93590224700307,118.84184928631583,131.98323199732522,137.92925967572043,118.79776211180456,131.9578026289911,137.91596150997893,118.00829428265098,131.12439097077623,137.4911018650485,0.0,117.9489371411012,132.01983171189784,0.0,0.0,117.95730359192606
3,121.93219641516323,132.1577953597675,137.953494930973,121.91894293901956,132.14700392739996,137.94761292711345,121.9072663052919,132.1350453414335,137.94106807130916,121.87919797096971,132.1106713631192,137.92796159292922,121.52723486379092,131.32230929924717,137.50901051651272,0.0,121.47814519839392,132.1942457496693,0.0,0.0,121.48358267470338
4,124.25204078224554,132.38438060293933,137.98637585545296,124.24618161506744,132.37406366359093,137.98063753743912,124.23977203186122,132.3627253329178,137.974170200549,124.22418940312964,132.3405364781277,137.96130059533283,124.0236019465092,131.60783621514008,137.5503998044616,0.0,123.97480258042292,132.43963889146372,0.0,0.0,123.98202453184044
5,126.11381243916614,132.67695665135363,138.04037087717128,126.10864442922394,132.66768684489563,138.03470444625648,126.10442503644302,132.6575735220838,138.0284160775163,126.09461004148154,132.63654479553134,138.01594570428296,125.96251546975044,131.96567555760825,137.61494889430884,0.0,125.91298750339008,132.74429756807763,0.0,0.0,125.91985797424545
6,127.6595879644993,133.02389034562322,138.11512668262714,127.65742868533027,133.0157484420146,138.1096634555688,127.65402778622811,133.00604261002235,138.1034404193747,127.64555409098573,132.9865628790211,138.0911404065362,127.54543425049282,132.37860234986613,137.7018161693524,0.0,127.49575899581156,133.09603910159336,0.0,0.0,127.5021492416508
7,128.9813215925212,133.41189516907133,138.20964126683936,128.97699508552063,133.40486753951262,138.20442216024904,128.9750649813362,133.39628909528176,138.19843555904413,128.96910723177152,133.37852562512745,138.1866517641422,128.8858158340027,132.83084273488646,137.80990045822242,0.0,128.83622791134064,133.4826306322841,0.0,0.0,128.84069472617526
8,130.1310719819725,133.83027006364958,138.3233274413028,130.13004202576386,133.82300072403467,138.3181332325536,130.12814936274637,133.81546210286376,138.31242132030866,130.1235308360777,133.79969815035813,138.3009756256171,130.0732989137838,133.30813472055866,137.9380799103956,0.0,129.9944517319895,133.89298972863736,0.0,0.0,129.99998430766846
9,131.15407002037577,134.26696974881145,138.45447758155373,131.15113968338696,134.26042897406268,138.44954415041488,131.14939291560555,134.25306406875015,138.4441367755078,131.14669892084186,134.23903282073135,138.4330009587263,131.09758735416503,133.7991429898827,138.0847616013691,0.0,131.01698854399245,134.31891077545745,0.0,0.0,131.02169599730323
10,132.07087019292916,134.7133046840151,138.60209231093944,132.06843687483004,134.7081796663458,138.5974384266077,132.06789013049567,134.70147424674218,138.59235741865942,132.06445117293043,134.68886842213968,138.58183067444145,132.01098581185644,134.2936138158622,138.24842522458866,0.0,131.93684571879513,134.75204941457034,0.0,0.0,131.9378450668446
11,132.90267019282723,135.16350125453744,138.76480910745806,132.9008471224632,135.15891560175635,138.76005708618462,132.8997127242803,135.15270893113393,138.7553156246099,132.89705971083708,135.14120694641363,138.74503245380137,132.83935548294028,134.7864817798466,138.42697813297193,0.0,132.76414275369427,135.18752814760362,0.0,0.0,132.7644581208292
