D (km),h1=1.5_h2=1000,h1=1.5_h2=10000,h1=1.5_h2=20000,h1=15_h2=1000,h1=15_h2=10000,h1=15_h2=20000,h1=30_h2=1000,h1=30_h2=10000,h1=30_h2=20000,h1=60_h2=1000,h1=60_h2=10000,h1=60_h2=20000,h1=1000_h2=1000,h1=1000_h2=10000,h1=1000_h2=20000,h1=10000_h2=1000,h1=10000_h2=10000,h1=10000_h2=20000,h1=20000_h2=1000,h1=20000_h2=10000,h1=20000_h2=20000
0,112.88109740398892,132.94912534809808,138.97496578119433,112.76243123449026,132.93696031814977,138.96867099018735,112.62866733770348,132.92342812805524,138.96167526381956,112.35485157137146,132.89631449681093,138.94767889270574,0.0,132.00962116973812,138.50443199671406,0.0,0.0,132.87306759229384,0.0,0.0,0.0
1,115.512574278393,132.9272955433345,138.94370243213388,115.48800175131991,132.92118363271192,138.9403843063291,115.46005294669044,132.91440130316545,138.9367373451055,115.4074726276272,132.90072801391594,138.9293514454316,114.47875509817132,132.43337318238858,138.694486353892,0.0,115.96185320244972,134.8561057122928,0.0,0.0,116.0548093549084
2,119.24488435905592,132.9785294880932,138.93001274549752,119.23784045476258,132.97277050731722,138.92675905126558,119.2280951436133,132.96619130495483,138.9231378836648,119.2207145608308,132.9531498004705,138.91588043781826,119.4437313637316,132.508779699832,138.6842533965365,0.0,121.81864159446155,134.93456717676705,0.0,0.0,121.97988440778605
3,122.1624082896889,133.1025718787677,138.9346581654578,122.15772232860084,133.09714873820894,138.9314691565972,122.1556031119916,133.09116355422478,138.92792227892022,122.14686203246004,133.0788162871208,138.920821216674,122.43380120565652,132.6682295145379,138.69385728888244,0.0,125.13120102373028,135.078909699456,0.0,0.0,125.4340012412706
4,124.42198370890466,133.29451257592024,138.95783442679385,124.42176547361528,133.28934852851097,138.9547521160569,124.42172643700889,133.2837371140647,138.95126406011937,124.41899545901116,133.27293878016883,138.9443422578125,124.6528814146464,132.90041152126946,138.72338345921548,0.0,127.42944559598622,135.28359183893767,0.0,0.0,127.84772329024484
5,126.25127719447585,133.54645725919096,138.99953347526963,126.25018908745142,133.54200499672916,138.99649833915248,126.25057052227233,133.53724372944666,138.99313890039468,126.25002337853591,133.52703898677834,138.98651113180588,126.42597868579088,133.19496848976885,138.77267179506387,0.0,129.1652646715704,135.53878104608117,0.0,0.0,129.666464219903
6,127.77958586609662,133.8493267428152,139.05957249743827,127.7804866170778,133.84558006285636,139.05668161649854,127.78057411770487,133.84086635994515,139.0533538878778,127.77913993740496,133.8313951090399,139.04682556617837,127.90432148927636,133.53904975788333,138.84115226438007,0.0,130.55309228151228,135.83424893706615,0.0,0.0,131.15011334934118
7,129.09273015566797,134.1919811652878,139.1372351674165,129.09079541780585,134.18897977245948,139.1345180404816,129.0915833855844,134.18499276043602,139.1313537287851,129.09111667845096,134.17649929234622,139.12519129094252,129.1779340222882,133.92017230948673,138.92803744450484,0.0,131.71164360967003,136.1597261524605,0.0,0.0,132.39201018978048
8,130.2395780601084,134.5650165506036,139.2321341033419,130.2404276313928,134.56154755539345,139.22940218626084,130.2406940612017,134.558208412209,139.22642824602008,130.24043885569864,134.55093538271635,139.2204723266345,130.34939366374618,134.32675864142854,139.03252000035502,0.0,132.6922909668909,136.5059080861484,0.0,0.0,133.447031086168
9,131.26350684682367,134.9577928948013,139.34293874646616,131.26206571612326,134.95472204335493,139.34038368137274,131.2620460792062,134.95125720658675,139.33762065621124,131.26285126457662,134.94497908138888,139.33183343576934,131.3364286219504,134.74935360034476,139.15340288250098,0.0,133.55048953847606,136.85678492882042,0.0,0.0,134.36443400152774
10,132.18397903565105,135.36242284849376,139.46889369280993,132.1829998123904,135.36038733088805,139.4665276808686,132.18353028257462,135.3572416044482,139.4639899966484,132.1828954880011,135.3517044639701,139.45861424746644,132.22067943419972,135.1791046934405,139.28953484479936,0.0,134.31188931102068,137.21211418275163,0.0,0.0,135.18003836114283
11,133.02141057756975,135.77350375817116,139.60900410581098,133.02084230262966,135.7717260552741,139.60646771600895,133.02115210316222,135.76876857936412,139.60413071568271,133.02134449639317,135.76371150690431,139.5988263616464,133.02554104999902,135.61164983410686,139.43927000311132,0.0,134.99815969400078,137.57023080342375,0.0,0.0,135.90832598270032
12,133.7896155838583,136.18538762590128,139.76158518618172,133.79030425601775,136.18375700016526,139.75939392017474,133.79060578635847,136.18133280320814,139.75691380729887,133.79061998891206,136.1769769728075,139.75194883533842,133.76177005566674,136.0422856448217,139.60106534801636,0.0,135.61116599070877,137.92775941218974,0.0,0.0,136.56497868695996
13,134.5008199480325,136.5955052552134,139.9254259168463,134.50050416449125,136.5928861253563,139.92319628947604,134.50133677556855,136.59097494090196,139.92090667612578,134.50086110907864,136.5871852807326,139.91632659365985,134.4410860487939,136.46636973588926,139.77368354962138,0.0,136.17631024823416,138.2816289268664,0.0,0.0,137.168110986281
14,135.1622337944173,136.9992301419426,140.09886119972546,135.16220929542078,136.99759955372443,140.0970094055931,135.1622930211793,136.99562938960975,140.09466844567058,135.16153736220937,136.99173121565542,140.0902216491926,135.07062445360054,136.8827783942986,139.95539255833648,0.0,136.70341895565036,138.62132746735728,0.0,0.0,137.7175795950785
15,135.77940539282844,137.39629436839002,140.2810079029766,135.77938294986342,137.39453801088948,140.27905534608004,135.78002479781614,137.39303094717357,140.27686335017123,135.78014998961658,137.38945515669926,140.2727398239773,135.74588155345594,137.2905927125246,140.14509625090034,0.0,137.19114463060657,138.9532927601065,0.0,0.0,138.22390071161445
16,136.360058270943,137.78506325345708,140.4693508462065,136.36026271439985,137.7837714450724,140.46781073322109,136.36019078972748,137.78208413324617,140.46576874892918,136.35957638502305,137.7787680659428,140.46168937304816,136.29576675824575,137.6874298978046,140.3411842483623,0.0,137.64507510325305,139.27891321210743,0.0,0.0,138.69759192682727
17,136.90710315776354,138.16497198215245,140.6614092918197,136.90762215881554,138.16347147725685,140.65976176936135,136.9069177186107,138.16153575650856,140.65790876794833,136.90669740891835,138.15843857666192,140.65420476589884,136.81347127086207,138.074118661505,140.54218738744134,0.0,138.08148242446214,139.59691665632403,0.0,0.0,139.1428748884875
18,137.4249679095502,138.53432944154434,140.85405120293223,137.42474777612395,138.5333252877713,140.85247246626818,137.4252621841787,138.53183851435043,140.85038153225145,137.42452039545344,138.5289370374742,140.84684292936788,137.3011142263206,138.44976508184757,140.7433963681817,0.0,138.4892359220816,139.90728601860283,0.0,0.0,139.5506741567826
19,137.91637811128052,138.89449111266245,141.0487872149164,137.916616701849,138.89322911757444,141.0473204984472,137.91679352844986,138.89223687812176,141.04533952394598,137.91616398087834,138.88952494523903,141.04205217793742,137.76351199243072,138.8144112398156,140.94429587276505,0.0,138.87775508187403,140.20924729400613,0.0,0.0,139.93693809211948
20,138.38466823208833,139.2478582633181,141.2443937971591,138.38447441747164,139.2461030856166,141.24295882367358,138.38451050565257,139.24458714710764,141.2413465292297,138.3844660912512,139.2416372108455,141.23813655498628,138.21358408302677,139.1687704842912,141.14435325473335,0.0,139.24696146119038,140.4971810843799,0.0,0.0,140.30458819014285
21,138.83129645115577,139.59100574481275,141.4415681443035,138.83068456674997,139.5893829907053,141.4401568200477,138.83069692599875,139.58798669185057,141.43857180694886,138.83046131451582,139.58437500902372,141.43541921235203,138.69955219625953,139.5121368469923,141.34555315344195,0.0,139.59837698808894,140.77873424840425,0.0,0.0,140.65479685739135
22,139.257501870046,139.92412213568608,141.6380608304429,139.25761129446866,139.92265045079566,141.63668606633655,139.25763169925582,139.92138842360723,141.6355382223332,139.25724965174336,139.91847781046351,141.6324696485796,139.09942422352734,139.84590284863373,141.5462190018575,0.0,139.93832317378113,141.0528473373128,0.0,0.0,140.98695172367627
23,139.6666121522813,140.24654816316885,141.83629117794135,139.66739940896673,140.24526209627933,141.83489471604148,139.66737251112875,140.24416017670086,141.83375057198236,139.66671646693405,140.2410583599005,141.8306386220654,139.53820573400031,140.16822465418565,141.74612363073553,0.0,140.26505607966794,141.31188355646654,0.0,0.0,141.29812326521068
24,140.05973713079817,140.55652575936512,142.03243196168822,140.05978032796784,140.55543143861954,142.03125613681237,140.06023415953132,140.55346080258576,142.02990989120036,140.0596631691731,140.55065217637647,142.02680035728284,139.90485585079267,140.47649954262246,141.94544685496552,0.0,140.5774515381302,141.55325686350866,0.0,0.0,141.5969283568926
25,140.4371599856811,140.8556748454408,142.22973105404765,140.43752591937266,140.85425734732596,142.22827956188198,140.43829140567703,140.85297072131254,142.2266525375962,140.43738608502878,140.84995831720244,142.2238962741298,140.25593236620227,140.77655250799484,142.14286011943946,0.0,140.87920757774282,141.78200559480467,0.0,0.0,141.88425703326266
26,140.80070666764405,141.14556191832287,142.42498692109606,140.8011305936693,141.1443661986467,142.42399588668758,140.80125450004954,141.1427105694489,142.42233508144795,140.80078664442476,141.1400615128534,142.4195331407654,140.59360677983847,141.06664423217177,142.34048684941033,0.0,141.17084244691716,142.0032788690558,0.0,0.0,142.16099297623046
27,141.14746311215606,141.42693387544855,142.61772310309405,141.1483551140465,141.4254129413903,142.61670968109618,141.14888313182044,141.42395946430824,142.6152575072113,141.14746346957173,141.42115518259962,142.61238366869168,140.91923081345254,141.34819534596204,142.5354932766491,0.0,141.4550255408323,142.21515073931934,0.0,0.0,142.42824033842513
28,141.48138029849636,141.70006485344268,142.81179309997194,141.4824420719991,141.6988014643647,142.810581089531,141.48230368648524,141.69757334983464,142.8088816563191,141.48144737317952,141.69461945548676,142.80593215394117,141.28313215260656,141.621398015143,142.72827727890535,0.0,141.7305479996392,142.42336181433546,0.0,0.0,142.68648715500706
29,141.79984922104316,141.965200977167,143.00687078825254,141.80164462859807,141.96361068374267,143.00562059810326,141.80209349804727,141.96202040508558,143.00415262160988,141.8015053070265,141.95956674122678,143.0009642887915,141.58574249386945,141.88533864568592,142.92157220205084,0.0,141.99568959103874,142.62661882896563,0.0,0.0,142.9327867785345
30,142.1066034271888,142.2241571222329,143.19955445989018,142.10954787308913,142.22287062691504,143.19795808837537,142.11053555684757,142.22122565482096,143.1964343325264,142.11104579031158,142.2186941591945,143.193423407199,141.9323099946083,142.1434825296594,143.11180009605636,0.0,142.25302264237487,142.82691330539683,0.0,0.0,143.1693085642737
31,142.40206614654238,142.47552610166915,143.3890128429428,142.40613556109804,142.474251411374,143.38765791911555,142.4082866033542,142.47290529891015,143.38606832213878,142.40997892816478,142.4696557328021,143.382927486469,142.21531572663014,142.39415168540617,143.2999900165325,0.0,142.5053682011291,143.02022836521377,0.0,0.0,143.3993227198827
32,142.6885543792757,142.7201013442196,143.57665010753968,142.69449154189488,142.71850049795097,143.57520663887777,142.69737170908104,142.71714262174436,143.57384193294433,142.69998989271437,142.714191853819,143.5708269003897,142.4896344364293,142.637508796585,143.48750702802755,0.0,142.75071219856406,143.2167023417346,0.0,0.0,143.62265826344623
33,142.9676739186102,142.96024161047305,143.76417554549175,142.97514398845274,142.9590348986594,143.76299808107188,142.97803546821322,142.95732279637966,143.76156165942942,142.98112082226243,142.95437420294724,143.75839354052036,142.79439830834588,142.87653557483588,143.67592793076537,0.0,142.98733779462273,143.40759190934287,0.0,0.0,143.82989843289556
34,143.23923306778627,143.19398629880575,143.9492454163493,143.2487460923697,143.19246969792098,143.94800005660778,143.2523244231167,143.1907688633505,143.94648390852393,143.25594240916402,143.18785391000378,143.9434958767197,143.05280619840784,143.10894816199846,143.86199335601307,0.0,143.2183798304436,143.5940218462532,0.0,0.0,144.0419260831655
35,143.50316819828475,143.42120954086073,144.13123099037503,143.5140030220286,143.41976032229903,144.12991130639827,143.5189263769197,143.41808674052396,144.12866907881505,143.52337146224602,143.41523690872114,144.1255085576427,143.33363558535046,143.33495434015558,144.0445196963943,0.0,143.44215699742898,143.77653033719716,0.0,0.0,144.24873436257874
