D (km),h1=1.5_h2=1000,h1=1.5_h2=10000,h1=1.5_h2=20000,h1=15_h2=1000,h1=15_h2=10000,h1=15_h2=20000,h1=30_h2=1000,h1=30_h2=10000,h1=30_h2=20000,h1=60_h2=1000,h1=60_h2=10000,h1=60_h2=20000,h1=1000_h2=1000,h1=1000_h2=10000,h1=1000_h2=20000,h1=10000_h2=1000,h1=10000_h2=10000,h1=10000_h2=20000,h1=20000_h2=1000,h1=20000_h2=10000,h1=20000_h2=20000
0,101.6444332196263,121.67989007283272,127.7044082281793,101.52611649622936,121.66807448893152,127.69846288339068,101.39273791999132,121.65492761941162,127.6918524775017,101.11968357338225,121.62857540785676,127.67861752616554,0.0,120.76053271775332,127.25402126980528,0.0,0.0,121.65522797949512,0.0,0.0,0.0
1,105.66970139100792,121.68005087979589,127.6779393184948,105.5079862655992,121.64830139535049,127.66193995287658,105.32646537078568,121.61310557144576,127.64416828430784,104.96932291645211,121.542388452987,127.60856740620356,97.40839783488865,119.32042911182396,126.48356144534796,0.0,94.49318416981764,116.2790835847322,0.0,0.0,94.35951534009412
2,110.59716308842884,121.8051438106382,127.68310301752706,110.52308266991427,121.7743056283666,127.6671727603045,110.43746544088552,121.73962722188745,127.64945320891503,110.28165275879438,121.6705383435467,127.61402979712088,106.37022583895906,119.49215015312647,126.4940747112686,0.0,100.72353898422064,116.40438026772296,0.0,0.0,100.51435373120964
3,113.92213131968724,122.0480258540242,127.7191013725521,113.89042507818311,122.01825956362455,127.70332962246636,113.85821355504709,121.9851967741012,127.68578342720885,113.78860669250872,121.91835775910344,127.65066284997808,111.66949562217684,119.8108356604979,126.54062391373384,0.0,104.580651276203,116.64062909768664,0.0,0.0,104.1398765141965
4,116.39269378008731,122.39592956536524,127.78589461046305,116.37447953144,122.3673469125254,127.77038723587005,116.35415371974167,122.33571841769096,127.75297462444529,116.31049807976656,122.27319428093114,127.71827393565968,115.00861685895518,120.27738529128654,126.62291659463622,0.0,107.3931526493774,116.96973538465392,0.0,0.0,106.76125580132984
5,118.34720773861594,122.83114135398348,127.88288360247118,118.33285498213957,122.80472496840228,127.86752313519207,118.31834348638836,122.7755738553235,127.8504531142284,118.2878142044125,122.71607281997905,127.81649487650928,117.44696678737992,120.85333392213975,126.74008817163272,0.0,109.67683824835429,117.37611891071144,0.0,0.0,108.87899504858444
6,119.95435725834548,123.32371979737088,128.00913832267318,119.9450899397904,123.30161046845984,127.99417305054364,119.93362765111412,123.2760562575894,127.97727041921677,119.90890490992582,123.224826496016,127.94369999145556,119.31964801755154,121.50388252881184,126.89037365845424,0.0,111.61492577477031,117.84357968710788,0.0,0.0,110.61029896392684
7,121.31895053395596,123.85411783595596,128.16267978864371,121.30876607118005,123.83421178619396,128.14818804289416,121.3003039625372,123.81096536443596,128.13175880780042,121.2811641517852,123.76361564994365,128.09919396159256,120.80029674501095,122.20202580120376,127.07160504431693,0.0,113.30362124231571,118.3558484795494,0.0,0.0,112.09965703100715
8,122.4996146553084,124.41550973558006,128.34224642162312,122.493762111797,124.39599635564868,128.32789884169298,122.4863977513492,124.37493970261951,128.312018086183,122.47076661843478,124.3318738589646,128.28020953462175,122.07681297347597,122.92432107068194,127.28159235133658,0.0,114.82679552437146,118.89818804638873,0.0,0.0,113.4283832457644
9,123.54561189735853,124.99150646020787,128.54483549971246,123.5385223632247,124.9736833714524,128.5310206878122,123.53210019888928,124.953655557356,128.51574832422972,123.5200312297874,124.91447406858305,128.48469604588206,123.17936164460276,123.65298785758398,127.51739431181292,0.0,116.20438787876442,119.4943435578936,0.0,0.0,114.62666304331492
10,124.47963801539102,125.57091976120005,128.76861881338402,124.47302036236049,125.55563494502744,128.7553764250527,124.4690828429083,125.5372507222318,128.74075788587322,124.45748602121331,125.50147714585908,128.7109540610024,124.1539902223154,124.3729397824343,127.77623464890156,0.0,117.49227125825168,120.10751356691526,0.0,0.0,115.71665301210938
11,125.32456700890005,126.14680378100476,129.00844684126653,125.31888549422688,126.13286747155207,128.99627522136294,125.3134594496431,126.1158719478006,128.9834781107924,125.30236217682724,126.08299398023908,128.95501954388567,125.03174025469048,125.06947517545213,128.05449500541295,0.0,118.645656850959,120.72199660322325,0.0,0.0,116.71937135155052
12,126.09565063705448,126.71229645029211,129.25631496736062,126.0916100037875,126.69948350886732,129.24496435225242,126.08661611326036,126.68426915773306,129.23221157615927,126.07627659310832,126.65443344361331,129.20665696894773,125.8277413801778,125.72783283897849,128.3488945104472,0.0,119.77940181849792,121.33182161083046,0.0,0.0,117.66259359912864
13,126.80616701993304,127.26503052996893,129.51735612028722,126.8013937169692,127.25175058971764,129.50621738395813,126.7972507019946,127.23818969883692,129.49406623826837,126.78712556854808,127.21103450554168,129.46971848229012,126.55699375049836,126.36134337589854,128.65682531865392,0.0,120.81788709010362,121.93161453934653,0.0,0.0,118.52776504004616
14,127.46407622085992,127.79997920066732,129.78873650434082,127.45977894491848,127.78880848916172,129.77847151917922,127.45511636213048,127.7760517437855,129.76655170745434,127.44523312727532,127.75051401546848,129.74303041679758,127.2287873181051,126.97005565419714,128.97492402988905,0.0,121.77230873598128,122.56574613841649,0.0,0.0,119.35885219550222
15,128.07549771246997,128.31796185819468,130.06895753842625,128.07131603729212,128.30735044497433,130.05882575830032,128.06735403075476,128.29600478394843,130.04745716581965,128.05871186136687,128.27250663362855,130.02506974751867,127.874748301902,127.55425803336884,129.3010790254265,0.0,122.69500622486206,123.18870584153188,0.0,0.0,120.14954423588436
16,128.64855410836088,128.81790039893212,130.35464510145513,128.6446484752119,128.80854621986404,130.34540947645633,128.64006357620207,128.79770394884903,130.33457036358078,128.6309310816667,128.77601712221357,130.31285017713782,128.45604692688943,128.11212523332478,129.63240860302906,0.0,123.58366608229888,123.79440435430266,0.0,0.0,120.8872666049823
17,129.1864954824886,129.3000336078835,130.64565901149484,129.18289674000417,129.29101465366566,130.63645470354766,129.17771644998896,129.28053185852468,130.62611850801107,129.1691032284585,129.26046825589597,130.60540712927593,129.00127218702428,128.6462944975902,129.96358020514643,0.0,124.4143021794693,124.380522444628,0.0,0.0,121.57928143444931
18,129.6939911648794,129.76310463887145,130.93906931880798,129.68961859279293,129.75525368121583,130.93028902154114,129.6856072470491,129.74595077174544,130.91994710252828,129.67651961351962,129.72736089688314,130.90018277425133,129.51315539006765,129.1568408486272,130.28682596793254,0.0,125.18368072675106,124.9471404005846,0.0,0.0,122.28020042794236
19,130.17397469143336,130.20959721818025,131.2337161234788,130.16995711122752,130.20192355210946,131.22533013572593,130.1655434484408,130.19379151745682,131.21540008853626,130.15651764134495,130.1765572456137,131.19651896483208,129.99714005158916,129.6450142036471,130.61039362716926,0.0,125.9034079755784,125.50060850162475,0.0,0.0,122.9411708200069
20,130.62992491518395,130.61700724169552,131.52810469107465,130.62535230839762,130.6113650770035,131.52008198401697,130.62068777468346,130.6055175407196,131.51106437908453,130.6121055211408,130.5938629612631,131.49299934590908,130.43297927487785,130.11281059465813,130.93295157896316,0.0,126.59323771884073,126.0770241535259,0.0,0.0,123.56730684968844
21,131.0343971228196,131.00845981932724,131.82194575398808,131.05830365961396,131.00326369188298,131.8142559177929,131.0534634011522,130.99787992312932,131.80561044568336,131.04449946724793,130.98612567401074,131.7882927178406,130.8825569616222,130.56022647620455,131.2532985460536,0.0,127.26244817419249,126.63394165075968,0.0,0.0,124.16051111583496
22,131.3339752387435,131.38596111066806,132.1134865980876,131.47127745029968,131.38120675362734,132.10609850904564,131.46625536133556,131.3762756562292,132.09838093013596,131.45688969143575,131.36592405494582,132.08174272673622,131.294655359262,130.9898909525364,131.5697201334722,0.0,127.89439334542936,127.16977592707455,0.0,0.0,124.73650660048528
23,131.5489195202964,131.75087181457206,132.40279316562524,131.86649967432876,131.74656155259288,132.39567724575576,131.86120706850193,131.74207949702782,132.38829199477425,131.851258619688,131.7320419405497,132.37226618959735,131.70149441033178,131.40157648163412,131.88314809502768,0.0,128.490736991897,127.68512787431264,0.0,0.0,125.32213746035156
24,131.69510077436607,132.10401487238147,132.68894304970365,132.24385818176614,132.10015666518396,132.68239272934534,132.2387694821582,132.0949488798756,132.67498515406632,132.2285325832628,132.08577167439233,132.65950736494932,132.07740706831407,131.79771164161173,132.1915030693521,0.0,129.05323834172395,128.18271444990336,0.0,0.0,125.8805822231104
25,131.784514373032,132.4454490052126,132.97176419523512,132.6061657149348,132.44144290506765,132.96510733932718,132.601085806446,132.43726040594566,132.95761884596968,132.59011813681818,132.42834703282188,132.94330046273566,132.43649317705191,132.1632820866069,132.49544022476647,0.0,129.587089264988,128.66090617092135,0.0,0.0,126.41359353666492
26,131.65028315045865,132.77551602538642,133.24987559832027,132.95425769485277,132.7719685133551,133.2441069481836,132.94824927214816,132.7675991859262,133.23683110902203,132.93726960215795,132.75956485491562,133.2229679137365,132.78108217678988,132.50861184126964,132.7937056724048,0.0,130.09430644796606,129.1228547743755,0.0,0.0,126.92314269663
27,131.447956750801,133.09551369970944,133.52404521136123,133.28861126210825,133.09178469909742,133.51846804875996,133.2826629980681,133.08785877679162,133.51174027114254,133.2703521388014,133.08007781149362,133.49827661002703,133.112642358624,132.84254023039674,133.08731468496003,0.0,130.57822383475323,129.57187768892064,0.0,0.0,127.4115629907545
28,131.18985225698273,133.4050846840518,133.79383283398204,133.610708332717,133.40183548806084,133.78842376529363,133.60376355154088,133.39837380392115,133.7818681256023,133.59152541396955,133.39083986885385,133.76912856918906,133.44400277770512,133.1654989224662,133.37482304219824,0.0,131.04011253686116,130.02497885388465,0.0,0.0,127.8798468521205
29,130.8177716213481,133.70612019553909,134.05887965581096,133.92031157847725,133.7026685760552,134.0536166400341,133.9134831827713,133.69898707078238,134.0475987749738,133.9008036369298,133.69240777314235,134.03517063904005,133.75083935998933,133.47742095070092,133.65674581328034,0.0,131.4740031699711,130.46119009141702,0.0,0.0,128.35829752176286
30,130.40864298634855,133.9976296423365,134.31971569433006,134.2195055336,133.9946897006738,134.31417512526937,134.21251490178815,133.99113321007394,134.30829533391278,134.19983393974803,133.98483012353793,134.29653629027422,134.06056709944764,133.7797379051938,133.93294684491133,0.0,131.87843944636776,130.881939672709,0.0,0.0,128.83005290294903
31,130.03354638035813,134.28088498298257,134.5753952896765,134.50851038588186,134.27810970533469,134.5703644771499,134.50172283882816,134.2750611257239,134.56460154146035,134.4888693803397,134.2682899052513,134.55307847269353,134.346385396468,134.07307927969595,134.2038013204066,0.0,132.26816547749047,131.28860925121995,0.0,0.0,129.2845721046073
