D (km),h1=1.5_h2=1000,h1=1.5_h2=10000,h1=1.5_h2=20000,h1=15_h2=1000,h1=15_h2=10000,h1=15_h2=20000,h1=30_h2=1000,h1=30_h2=10000,h1=30_h2=20000,h1=60_h2=1000,h1=60_h2=10000,h1=60_h2=20000,h1=1000_h2=1000,h1=1000_h2=10000,h1=1000_h2=20000,h1=10000_h2=1000,h1=10000_h2=10000,h1=10000_h2=20000,h1=20000_h2=1000,h1=20000_h2=10000,h1=20000_h2=20000
0,116.61548140630404,136.7729668024675,142.8044979444484,116.49598320411503,136.75996973995376,142.7973711201679,116.3613016196563,136.74551986212794,142.78945770648912,116.0856716883374,136.71659206597346,142.77364717012435,0.0,135.78501027152245,142.28551179655287,0.0,0.0,136.564689842507,0.0,0.0,0.0
1,119.1139286752238,136.74946458727453,142.77289849217954,119.10404727311057,136.7452864507444,142.77013614945855,119.09256720114249,136.7406543538414,142.7671162162045,119.0726973763438,136.73131977109742,142.76100226815782,119.17974962950052,136.412256889977,142.5780325900373,0.0,121.45641405955152,139.5934379179931,0.0,0.0,121.61439228219372
2,122.75136563241362,136.79485952982645,142.75773048169876,122.75115185740952,136.7909708669678,142.7550291085639,122.7491509157078,136.7864965586244,142.75202970407358,122.75707094829292,136.77767437095383,142.74603412635878,123.59074748577498,136.47758138787694,142.56597883216455,0.0,127.1957175325758,139.66204826890944,0.0,0.0,127.4645887626361
3,125.65368096595448,136.90963736925863,142.75992632456217,125.65219326613048,136.9059927395286,142.75727622224676,125.65372656202749,136.90199533892957,142.75433685881436,125.6523474084578,136.89367198853174,142.74847342035557,126.3321717866106,136.62038114058038,142.5723015732073,0.0,130.35530864434338,139.78844769827268,0.0,0.0,130.86284530424706
4,127.92697430878523,137.08968212589508,142.77971360954692,127.92854588711042,137.08617666974908,142.77714883400816,127.93058932451238,137.08241848103847,142.774252629615,127.93205771080862,137.0753259080298,142.76853029516755,128.42606491672277,136.83078082234792,142.59712965862485,0.0,132.51494235316238,139.9688416500004,0.0,0.0,133.21355960174145
5,129.78339825890106,137.3280691653544,142.81714898007866,129.78321632588188,137.3251043610101,142.81461151078275,129.78472917908027,137.32200649870262,142.81181414806343,129.78648828636543,137.31519026104468,142.80632498879282,130.12451050841872,137.10004816739527,142.64037962959287,0.0,134.1155428066627,140.19452478365685,0.0,0.0,134.94618575513087
6,131.34599177665183,137.6172731128128,142.87213093218836,131.34723699321995,137.61471681468478,142.86970324329084,131.34778427439687,137.6113702019202,142.8669105321348,131.34730502199236,137.60466393825132,142.86146593603402,131.55556507349382,137.41702776428926,142.70160529143,0.0,135.3781643647423,140.45643967785253,0.0,0.0,136.35850759291455
7,132.69771371305174,137.94698474474313,142.94330156459645,132.6955720944587,137.94498668053689,142.9410491837071,132.69633459149188,137.94216095869157,142.9384237790406,132.6958342334192,137.93603932428024,142.93334411581256,132.79861772472566,137.77068624947765,142.7801621409496,0.0,136.42307948705954,140.7454928839291,0.0,0.0,137.5319691767623
8,133.8857414293381,138.30792831310814,143.02924622565922,133.88609804065482,138.30531042702023,143.02703831011198,133.885907614873,138.30292634963277,143.02464699389998,133.88479955004317,138.29761342221576,143.01986645632746,134.06072430245064,138.1506059443135,142.87538775825203,0.0,137.2970037549815,141.05344402922898,0.0,0.0,138.51519099535423
9,134.95283893795116,138.68995316640977,143.1237336423425,134.9504762928292,138.68755103255782,143.12164201250488,134.94963148268133,138.6848567838181,143.11961544025746,134.94892291918674,138.68013643943897,143.11557756878042,135.03070466371858,138.54812553470998,142.98561946229265,0.0,138.058788999912,141.36175330852495,0.0,0.0,139.36251900552537
