D (km),h1=1.5_h2=1000,h1=1.5_h2=10000,h1=1.5_h2=20000,h1=15_h2=1000,h1=15_h2=10000,h1=15_h2=20000,h1=30_h2=1000,h1=30_h2=10000,h1=30_h2=20000,h1=60_h2=1000,h1=60_h2=10000,h1=60_h2=20000,h1=1000_h2=1000,h1=1000_h2=10000,h1=1000_h2=20000,h1=10000_h2=1000,h1=10000_h2=10000,h1=10000_h2=20000,h1=20000_h2=1000,h1=20000_h2=10000,h1=20000_h2=20000
0,116.26925269727872,136.33728064138788,142.36312107448413,116.15058652778006,136.32511561143957,142.35682628347715,116.01682263099327,136.31158342134503,142.34983055710936,115.74300686466124,136.28446979010073,142.33583418599554,0.0,135.39777646302792,141.89258729000386,0.0,0.0,136.26122288558363,0.0,0.0,0.0
1,119.23627319885466,136.32052041161768,142.33296533881338,119.17744032892443,136.30848929117735,142.32667923598416,119.1111287955808,136.2951475524504,142.319727292091,118.98247351064018,136.2683076954988,142.3057414902857,116.40749226956518,135.3921700018102,141.86388217118332,0.0,116.28309541596067,136.27034023200594,0.0,0.0,116.27963832033625
2,123.27074567786885,136.38876117306654,142.32361717008186,123.24691538286396,136.37720968460297,142.31739626611426,123.21817282446015,136.36414145398953,142.31047585503188,123.17364321967264,136.33815888532706,142.29662916361087,122.43145679273124,135.4912660337531,141.85840734228856,0.0,122.29460409378578,136.36478429824717,0.0,0.0,122.30144409591894
3,126.32271874272963,136.54017950006389,142.33548326893916,126.30920198823704,136.52913009039122,142.32934805841631,126.29726094403668,136.51688759819493,142.32252410936127,126.26865038340954,136.49195046832503,142.30886626405112,125.95039699739768,135.68988316418927,141.8764813481733,0.0,125.824470963116,136.53921986847195,0.0,0.0,125.82772317513177
4,128.6567467488291,136.76807173083546,142.36870633378453,128.65059596453096,136.75748978099332,142.36271324743174,128.643878539918,136.74586035514463,142.35596437383575,128.62767514099735,136.72309942335912,142.3425393050023,128.44676349076303,135.9763756318837,141.91810381430395,0.0,128.32112832896777,136.78464270556594,0.0,0.0,128.32619138550697
5,130.53294048505586,137.06230011354995,142.42314383821525,130.5274180692289,137.05275942193333,142.41721971459816,130.5228371817439,137.04234890123055,142.41064745792403,130.51230421819815,137.02072887357755,142.39761716472202,130.38567618890733,136.33542847680962,141.9829543097541,0.0,130.25931322936205,137.08933869636297,0.0,0.0,130.26402482016022
6,132.0932358933954,137.41120558710742,142.49844293178515,132.09068489717413,137.40278569238055,142.4927194020677,132.0868614681073,137.39277010179114,142.486208494894,132.07754559119306,137.37267827825872,142.4733408976052,131.9685938890079,136.74979116009652,142.07019034095336,0.0,131.84208469231595,137.44112457192264,0.0,0.0,131.8463160774512
7,133.42956854443412,137.80146476670868,142.59359876499985,133.4247613077381,137.79415072924803,142.58811631673507,133.42235787028656,137.78525253847286,142.58183832609552,133.415451402745,137.76685406874608,142.56948020242288,133.3089741185673,137.20366459000255,142.17870968421428,0.0,133.18255357104283,137.82776678386605,0.0,0.0,133.18486154935002
8,134.59391798586287,138.22234928054013,142.70802518402758,134.5923848641364,138.21477596069144,142.70256252877493,134.58995333902885,138.2069060357723,142.69655521823276,134.58427157671682,138.19048357502643,142.6845258991823,134.52924883561664,137.68275979423484,142.30738988541214,0.0,134.34077734715805,138.2381821993329,0.0,0.0,134.3441511155725
9,135.63159585859148,138.6617706366054,142.8400089132502,135.6280718396041,138.6549131998488,142.83480286907348,135.62572237999083,138.6471992116255,142.829095595452,135.62186355855414,138.6324827504037,142.81736541008578,135.55353532763928,138.17571736666162,142.45463592253472,0.0,135.36331410653196,138.6641647042957,0.0,0.0,135.36586278716933
