D (km),h1=1.5_h2=1000,h1=1.5_h2=10000,h1=1.5_h2=20000,h1=15_h2=1000,h1=15_h2=10000,h1=15_h2=20000,h1=30_h2=1000,h1=30_h2=10000,h1=30_h2=20000,h1=60_h2=1000,h1=60_h2=10000,h1=60_h2=20000,h1=1000_h2=1000,h1=1000_h2=10000,h1=1000_h2=20000,h1=10000_h2=1000,h1=10000_h2=10000,h1=10000_h2=20000,h1=20000_h2=1000,h1=20000_h2=10000,h1=20000_h2=20000
0,95.6219953278025,115.6522849942158,121.6766775893524,95.50370859061896,115.64049939652332,121.67076223080387,95.37036321304252,115.62738572566712,121.66418502355964,95.09737488822228,115.60109953589804,121.65101609402404,0.0,114.73488699853137,121.22824999084568,0.0,0.0,115.6346238915153,0.0,0.0,0.0
1,99.64638433988316,115.65240913362136,121.6501993502285,99.48469410038491,115.62068973224292,121.63422998381024,99.30320050120926,115.58552705847436,121.61649156371976,98.94611032239033,115.51487614630165,121.58095673612114,91.37538545813696,113.29473382787477,120.45778258927793,0.0,88.47221169398192,110.25839281892856,0.0,0.0,88.33891655158975
2,104.57215377828058,115.77739107470556,121.6553347291277,104.4980948577153,115.74658299337214,121.6394345825183,104.4125016946652,115.71193816725471,121.62174835963312,104.2567296798758,115.64291578831752,121.58639115742936,100.33723392953712,113.46635619405528,120.46827295097086,0.0,94.70257567704238,110.38369860627408,0.0,0.0,94.49375628212624
3,107.89522454006864,116.0200874942902,121.69128552119754,107.86354066066616,115.9903517037582,121.67554398543318,107.83135034118096,115.95732257985084,121.65803122944143,107.76178830154332,115.89055096704506,121.62297715413877,105.6364984599093,113.78487748030231,120.51478364114529,0.0,98.55953238708808,110.6199441784573,0.0,0.0,98.1192795000328
4,110.363849772189,116.367733420952,121.75801160127035,110.3456574412344,116.33918197474276,121.74253457375636,110.32535402726808,116.30758781558691,121.72515569082374,110.2817445579662,116.24513135862202,121.69052193412148,108.97560125278484,114.25121619514904,120.5970220231439,0.0,101.3720409315378,110.94904596898888,0.0,0.0,100.74066701157976
5,112.31639609674694,116.80261958765836,121.8549137610214,112.30206944694392,116.7762347039165,121.83958399044592,112.28758288048246,116.74711817797196,121.8225479128326,112.2571035778104,116.68768674579562,121.78865699641952,111.41394519120256,114.82687940771412,120.71412343020778,0.0,103.6557325178806,111.35542383899391,0.0,0.0,102.85840650521664
6,113.92156597729758,117.29479706821384,121.98106189938052,113.91232542230486,117.27271960634329,121.96612756019016,113.90089156109212,117.24720131986162,121.94925935157276,113.8762262554853,117.19604301732298,121.91575715798184,113.28661003831918,115.47709051810116,120.8643230920164,0.0,105.59382782670272,111.82287788584992,0.0,0.0,104.58971055567572
7,115.28416982186556,117.82475232686426,122.1344776100558,115.27401978855232,117.80487861912636,122.12001706780477,115.26558818488434,117.78166878648516,122.10362258771414,115.24651080252488,117.734392478662,122.07112659473458,114.76725975180732,116.17485022175649,121.045453256312,0.0,107.28253348793724,112.3351389787864,0.0,0.0,106.07907578460102
8,116.462845370874,118.38565171986568,122.31389913137352,116.4570257876679,118.36617282436288,122.29958338088667,116.44969598748423,118.345153590745,122.28373775431314,116.43413332624525,118.3021629329292,122.25199907136056,116.03861119138053,116.89672227129007,121.25532410074317,0.0,108.80570726478982,112.87746997651844,0.0,0.0,107.40780205296724
9,117.50684386618268,118.961114779259,122.51632487019052,117.49979504145053,118.94332724108048,122.50254228142998,117.4934112332163,118.9233387750776,122.48730546403552,117.48141497120469,118.88423463615344,122.4563242500434,117.1411636830446,117.62493190317686,121.4909948615228,0.0,110.18331268366666,113.47363040780871,0.0,0.0,108.6060879101266
10,118.4388733415444,119.53995958592417,122.73992674757524,118.43229943671884,119.5247105082388,122.72671701865968,118.42840157550184,119.5063670184075,122.71213448840057,118.41688691125574,119.47067337542224,122.68240270124404,118.11579738439042,118.34439933721984,121.74968965002216,0.0,111.47097455576684,114.08679023658723,0.0,0.0,109.69607712167188
11,119.19087690526403,120.11524448483154,122.97954280013148,119.27616983280711,120.1013452024302,122.9674047916734,119.27078866374694,120.0843920205078,122.95464419686424,119.2597794705027,120.05159699775524,122.92627219812296,118.9935538173426,119.0404155950701,122.02779099694766,0.0,112.6243592746275,114.70126245245643,0.0,0.0,110.69880340239136
12,119.61912549521855,120.68011321353455,123.2271962270228,120.04689758351296,120.66733877587092,123.21587953999057,120.04195194886668,120.65216787918332,123.20316436692876,120.03170767639132,120.62241783822708,123.17768459044903,119.78956263323388,119.6982454106047,122.32201883172232,0.0,113.75812017100364,115.3110760640306,0.0,0.0,111.6420255679611
13,119.72522422335682,121.2322008124215,123.48800712740116,120.75468725321048,121.2189627018826,123.4769032134608,120.75059428959092,121.20544639225746,123.46479033474742,120.74057256824646,121.1783798214,123.44051869388686,120.51882400826808,120.3312129700493,122.62976575460958,0.0,114.7966041753143,115.91085709862948,0.0,0.0,112.50719691492984
14,119.4167626852543,121.76648693267722,123.75914295648845,121.41107481194454,121.75535823820329,123.74891314343346,121.40646783647978,121.74264813264644,123.7370326461096,121.39669574610036,121.717203105052,123.7135892254574,121.1906279352895,120.9393685686414,122.9476694461358,0.0,115.7510245611957,116.54499409563256,0.0,0.0,113.33829444962036
15,118.85726934441271,122.28379119256266,124.03910546568306,122.02061932905438,122.27322382300612,124.02900991753576,122.01671440637418,122.26192599684512,124.01768144426656,122.00818738475392,122.23852396932988,123.99537346237744,121.82928792470808,121.52300202837392,123.27361873501565,0.0,116.67373951917554,117.16794082035275,0.0,0.0,114.12898572889014
16,118.208153725534,122.78303838863276,124.32452272188844,122.5919556595132,122.77372925899584,124.31532370399836,122.58743356062485,122.76293714911588,124.304525568883,122.57842557935024,122.74134999936348,124.28288688773024,122.41059977075297,122.0802919916774,123.60473299739026,0.0,117.56239771561631,117.77362596376403,0.0,0.0,114.86670741856
17,117.61490046223297,123.2644687694625,124.61525385752743,123.12821025304576,123.2554970972267,124.6060873861365,123.12309841664828,123.24506696924747,124.5957930804442,123.1146151537619,123.22510668797796,124.57516502070663,122.95583977326258,122.6138753118332,123.93566885071732,0.0,118.39271976277428,118.35973036523268,0.0,0.0,115.55873575965664
18,117.23284285402242,123.7268294399228,124.90837105859248,123.63294331560073,123.71902666590611,124.89962947236884,123.6289989496328,123.70977762971737,124.88933088830068,123.6200501984903,123.69129478746146,124.86965179412674,123.46773930983986,123.12382926673658,124.25868256661634,0.0,119.16209677177622,118.92633433928242,0.0,0.0,116.25965442152388
19,116.98180178042436,124.1726024902242,125.20271503326887,124.11129134133324,124.16497938856614,125.194368677581,124.10694908328378,124.1569022946513,125.1844830246406,124.09806870493244,124.13977879147124,125.16568915471564,123.95174196773348,123.6114047633769,124.58201047990018,0.0,119.88182256044286,119.47980790383802,0.0,0.0,116.9206244769294
20,116.84465924697432,124.5792668433991,125.49679214912292,124.56470067360507,124.57367774464282,125.4888100397249,124.56011115441125,124.56788782227576,125.47983737092588,124.55167886533395,124.55634768952268,125.46186171262104,124.38760097033985,124.07859772308504,124.90432165013056,0.0,120.57166279187749,120.05620877267285,0.0,0.0,117.54676016695691
21,116.80563679128794,124.96998712426203,125.7903130949059,124.99567171182818,124.96484573253962,125.78266486789136,124.99090950034687,124.95952143965644,125.77406544796617,124.98210353578496,124.94788727482948,125.7568393130878,124.8315835222122,124.52540693135728,125.22441549146512,0.0,121.24087165740956,120.61311123266324,0.0,0.0,118.13996328280336
22,116.87955700328573,125.3467515954888,126.0815268203353,125.40667059008484,125.34205359131816,126.0741813936662,125.4017293521402,125.33718379154988,126.06651036283031,125.39252990130012,125.32695500371166,126.04996606656528,125.24370540907164,124.954460160083,125.54057885452733,0.0,121.8726892761488,121.14893029980468,0.0,0.0,118.71597555165684
23,116.99697720254392,125.7109201941388,126.37049903994456,125.79992345429856,125.7066678388876,126.36342687887482,125.7947147424052,125.70224885202973,126.3560893338166,125.78494222622128,125.69233887044888,126.34015984041336,125.64583029482884,125.36553233454975,125.85374266480682,0.0,122.46891748514624,121.66426689410656,0.0,0.0,119.30160588617204
24,117.16903160794216,126.06331592247328,126.65630831463191,126.17533057147494,126.0595170989568,126.64980250249609,126.17032623206292,126.05437661305297,126.6424442216558,126.16027478575774,126.04533054418953,126.62706523844533,126.02177054679731,125.7610504688569,126.16182930475648,0.0,123.03141758726284,122.16183793380932,0.0,0.0,119.86005012832288
25,117.3757537080526,126.40399910146904,126.93878276538,126.53570362089962,126.40005513558856,126.93217198348688,126.53070970140504,126.3959403935494,126.9247344697942,126.5199421083968,126.38716293353048,126.91051664671974,126.38088644953535,126.1259853593724,126.46549343587698,0.0,123.56526738141378,122.6400140296951,0.0,0.0,120.39306057473986
26,117.61749473302874,126.73331255639464,127.21654315085983,126.88189023871142,126.72982855312604,127.210820896183,126.87597542168,126.72553008058264,127.20359737949065,126.865211181649,126.71763498819526,127.18983735323658,126.72550754593811,126.47069440862488,126.76348240018216,0.0,124.07248355776076,123.10194685830407,0.0,0.0,120.90260890325126
27,117.87385430308628,127.05255273244528,127.490356573212,127.21438744892846,127.04889008508722,127.48482699620834,127.2085359627966,127.04503664388388,127.47815244854944,127.19646752476424,127.03739960579068,127.46479464504488,127.05710223440548,126.80399935708884,127.0568106590092,0.0,124.55629507787673,123.55096631129888,0.0,0.0,121.39102870986974
28,118.1460682260448,127.3613647305968,127.7597835215316,127.53469658190087,127.35818312020956,127.75442326261624,127.52785595281848,127.3547954251861,127.74792224383413,127.51587176990384,127.34741009632036,127.7352908052364,127.38431995328456,127.1263325099448,127.34403553809535,0.0,125.01808522363432,124.00405129489076,0.0,0.0,121.85931210057367
29,118.43358344199498,127.66163660309468,128.02446584404754,127.84260280238485,127.6582554865083,128.01925289417255,127.835866886988,127.65465116056258,128.01329053826643,127.82342493001462,127.6482233095685,128.00097332781468,127.69119620235593,127.43762849997906,127.62567182103038,0.0,125.45196695524528,124.44024630583232,0.0,0.0,122.33778079068408
30,118.92587310633378,127.9523816928694,128.28493301434173,128.14016891272058,127.94951330790688,128.27944437736446,128.1332364863682,127.94603631743811,128.27362152589495,128.12073863399314,127.93988915984106,128.26197571430177,127.99648572009588,127.7393174291733,127.90158371445344,0.0,125.85640293296125,124.86097960420898,0.0,0.0,122.8095351984357
31,119.50280531010674,128.23487006558176,128.54024093573327,128.42757657863737,128.23216826814993,128.53526279792754,128.42079221569384,128.2292004450997,128.52955826948184,128.40805307960937,128.2225916242768,128.51815134732442,128.28234932430382,128.03202870521704,128.17214623488476,0.0,126.24603685316684,125.26763282799313,0.0,0.0,123.26405374216634
32,120.06555525481872,128.5094878646139,128.7907109437151,128.7065552770797,128.50657292960557,128.7858227820947,128.6993579235384,128.50375677474918,128.78064581729507,128.68601978903985,128.49781736893863,128.76986752198513,128.55890891927254,128.3158116443937,128.43698411998142,0.0,126.62015219018112,125.66041452563933,0.0,0.0,123.70114070312049
33,120.6162008439839,128.77636649876248,129.0363604481714,128.97686974885136,128.77402642440865,129.03198806135293,128.96942866715602,128.77097016673517,129.02690409621266,128.95585465951757,128.7653412318495,129.0163007355876,128.8333600512882,128.59117436990377,128.69620773054515,0.0,126.97817847372364,126.03948963965192,0.0,0.0,124.12244641722796
34,121.1540596627692,129.03615304919836,129.2777483401347,129.239146037643,129.0335988422279,129.27344732303854,129.231208636087,129.03070178187443,129.26843913002756,129.21736978076112,129.0254042810764,129.25843204283498,129.0929090797777,128.85875060035488,128.95047307537916,0.0,127.32371081223532,126.4066946345166,0.0,0.0,124.52853683734097
35,121.68145695156822,129.28880005717977,129.51416775076828,129.49373032869678,129.2864454639869,129.5099237585923,129.4858874135176,129.2837191809405,129.50544382404885,129.47129258529753,129.27877598556816,129.49555829301707,129.35063821842374,129.11890429385892,129.19866103191916,0.0,127.65816435787808,126.76155897785566,0.0,0.0,124.92083539323596
36,122.19657374841326,129.53519518663776,129.7463392520621,129.74154585926084,129.53305409126793,129.74213913546149,129.7330879004546,129.5305111617853,129.73771714244822,129.71807543858722,129.52551291006205,129.72840510263163,129.5945206916706,129.3720914383164,129.44203100949898,0.0,127.9789199102312,127.10529635359504,0.0,0.0,125.29939965880224
37,122.7023814908172,129.775043069871,129.96928722847466,129.98230126054636,129.77313078978472,129.96664681419455,129.97383195213433,129.77078541744234,129.96321449587106,129.95784062829506,129.76573700355888,129.9563541362222,129.83127389480023,129.61844323825105,129.6805199485335,0.0,128.28930817126613,127.43795118820223,0.0,0.0,125.6653235148961
38,123.19837992021898,130.00944817587316,130.17969116134438,130.21668494981682,130.00732122505863,130.17681659814903,130.20743963631435,130.0047297834284,130.1738558480817,130.19123509583451,130.0000956386198,130.16747856460142,130.06778939419198,129.85814766680963,129.9135880237153,0.0,128.589509050137,127.76070245386973,0.0,0.0,126.01962908059764
39,123.6861769381198,130.2377954998805,130.38609356685745,130.44502346051357,130.23591799163225,130.38345413332178,130.43560386066855,130.2335427596632,130.380244049165,130.41809019990092,130.22888376713945,130.3743386626782,130.29749420205414,130.09233284230595,130.1422534777191,0.0,128.88092564967243,128.07355658323837,0.0,0.0,126.37867403218164
40,124.16450951393703,130.46089750876564,130.58896580019277,130.66772005584326,130.4588043264659,130.5863141363889,130.6575401374986,130.4566619518759,130.58308453203182,130.6392164035788,130.45246853336917,130.57715426248097,130.5153522892428,130.32046745286982,130.36579192065196,0.0,129.1617474953548,128.3776733838741,0.0,0.0,126.72922958968108
41,124.6353136446528,130.67869950427652,130.78783586800677,130.88475010939365,130.67687899598891,130.785164353666,130.8739262887045,130.67449285932753,130.78242285867807,130.85505231701254,130.67030686856947,130.7767084444236,130.72739476388216,130.5429232861562,130.5850850314024,0.0,129.43507618073014,128.6646573409432,0.0,0.0,127.06848406872854
42,125.09860231916616,130.8914294513827,130.98327829398897,131.0963806665754,130.88964729861698,130.98110870282576,131.08502810979817,130.88751689940457,130.978343689438,131.06511954673266,130.8836015553772,130.9728416348031,130.9409498861907,130.76013711121936,130.79972556426068,0.0,129.7000731369643,128.94068559104727,0.0,0.0,127.3974608896574
43,125.55446236460776,131.09936972953082,131.1754165629579,131.3029343731598,131.09763306024882,131.17322600932687,131.29142441785967,131.09577645573,131.17043008255487,131.27044505268503,131.09215609380536,131.1651381421749,131.14791082978437,130.97261218453065,130.9999922027888,0.0,129.95669569282907,129.20892467416925,0.0,0.0,127.7169974635186
44,126.00422812745344,131.30312282662535,131.36413762831864,131.50505674725204,131.30143875820426,131.3619199703597,131.49271315809565,131.29961007932835,131.359363214151,131.47088258008043,131.29578302709456,131.35427999491458,131.3445197737635,131.18018182076867,131.1942788594804,0.0,130.2069266278226,129.47046756428986,0.0,0.0,128.02666045373644
