D (km),h1=1.5_h2=1000,h1=1.5_h2=10000,h1=1.5_h2=20000,h1=15_h2=1000,h1=15_h2=10000,h1=15_h2=20000,h1=30_h2=1000,h1=30_h2=10000,h1=30_h2=20000,h1=60_h2=1000,h1=60_h2=10000,h1=60_h2=20000,h1=1000_h2=1000,h1=1000_h2=10000,h1=1000_h2=20000,h1=10000_h2=1000,h1=10000_h2=10000,h1=10000_h2=20000,h1=20000_h2=1000,h1=20000_h2=10000,h1=20000_h2=20000
0,122.05349618373664,142.21098157990005,148.24251272188098,121.93399798154763,142.19798451738637,148.23538589760048,121.7993163970889,142.18353463956052,148.2274724839217,121.52368646577,142.15460684340604,148.21166194755693,0.0,141.22302504895504,147.72352657398545,0.0,0.0,142.00270461993958,0.0,0.0,0.0
1,125.0411594753937,142.19492041909965,148.21253900974745,124.98159372371182,142.18205414594465,148.205420310236,124.91448002216951,142.167794236397,148.19754936783409,124.7842862811192,142.1391339425198,148.18174817213358,122.41580590245186,141.21797746339325,147.69495514853855,0.0,122.02893871657128,142.01185073909414,0.0,0.0,122.01587087596332
2,129.11679236238538,142.26527773966905,148.20374342116526,129.09223496318478,142.25288691186807,148.1966868174554,129.0626842130861,142.23888809505715,148.18884482771995,129.01673073316672,142.2110711872901,148.17317764390162,128.43977021105476,141.31876186326326,147.68988530791464,0.0,128.0404473885718,142.10638111375658,0.0,0.0,128.03767664954776
3,132.21500797953115,142.42023761220412,148.21653767991396,132.20064803813048,142.40833482027102,148.20956318239104,132.1878645075561,142.39515302676097,148.20181377762873,132.1575225250347,142.36835044496814,148.18632638110182,131.9587099943899,141.52018962945934,147.70864036817792,0.0,131.5744790769399,142.2809594373019,0.0,0.0,131.56395572485252
4,134.59682743874868,142.6530515489474,148.2510715286826,134.58975141272165,142.64159376840496,148.24423435581082,134.58206007080463,142.62900242341715,148.23655196707736,134.56389032837146,142.60435130996314,148.2212842254141,134.45507582815256,141.8105655816939,147.7512232345604,0.0,134.07113642501,142.52657914448167,0.0,0.0,134.06260683327426
5,136.5216157329376,142.9535020368254,148.30720423445078,136.5149701105222,142.94306850453103,148.3004263481236,136.50924961406656,142.93167874395346,148.29291325443972,136.49645285030925,142.90810730435854,148.27802655557898,136.39398760281352,142.1744991096435,147.8173151349593,0.0,136.0093213005926,142.8315225155325,0.0,0.0,136.0004402594286
6,138.13083485536677,143.3098324281599,148.38458471521804,138.12704861537372,143.30049903395394,148.37799930250796,138.1218951126841,143.28946362365002,148.370534364644,138.10992707193915,143.26735540550044,148.35578506501534,137.9769040933675,142.5946368257544,147.90606995932208,0.0,137.592092731156,143.18360236286287,0.0,0.0,137.58273150563016
7,139.51635741781445,143.7085804819423,148.48219721701238,139.51002868219726,143.70032822045613,148.4758434606051,139.50613921131395,143.6903803071476,148.46860040683572,139.49625190715446,143.66989443928725,148.4543395870643,139.31728280741277,143.05507807513007,148.01638114373247,0.0,138.9325615694301,143.5705805762133,0.0,0.0,138.92127696368613
8,140.7298963527025,144.13891485956395,148.59945954163743,140.72677980654134,144.1303448818322,148.59310857568357,140.72265668932607,144.12139026472812,148.586123662763,140.71363857525392,144.10280883202034,148.57216159279548,140.6505477102113,143.54142532107684,148.14712374078564,0.0,140.090785296594,143.98136936603527,0.0,0.0,140.0805665131657
9,141.8170353303475,144.58858431214853,148.73463675412478,141.81163652512893,144.5806908722122,148.72852931895417,141.80739562701083,144.57183450397324,148.72183038223923,141.7998885422933,144.5548768845908,148.70813255046824,141.67483202122287,144.04222221281657,148.29669408119878,0.0,141.11332199811778,144.40775931353497,0.0,0.0,141.1022781649855
10,142.79793594577822,145.048746325051,148.88672676685712,142.79280091429732,145.04223616447774,148.88087973739684,142.78957485604684,145.0339749577764,148.8744865588601,142.78074168195386,145.0183197361109,148.86135576036895,142.58822567310543,144.5470745952024,148.46356366536256,0.0,142.04000306005065,144.84140061029026,0.0,0.0,142.01872325846807
11,143.69388297686555,145.51352546353405,149.05435410700616,143.68914103322092,145.50749391304305,149.04837620551223,143.68501572824854,145.49966003196957,149.04229995194868,143.6764987108904,145.4849720256343,149.0293551220654,143.41658983305186,145.05085009983046,148.6456206373927,0.0,142.86729994839826,145.27741281456906,0.0,0.0,142.8453362623381
12,144.51912744731592,145.97684882370524,149.23529012374524,144.51564724033722,145.97115162891492,149.22976114429196,144.51143595177646,145.96411120691707,149.22355642324683,144.5026007649889,145.9505966361347,149.21115792481302,144.17209160817436,145.54814940047928,148.84091153219504,0.0,143.62336737698678,145.71163392181808,0.0,0.0,143.60197234811147
13,145.2863445587541,146.4361493284616,149.42829951091167,145.28165722950806,146.42949766310042,149.42276669621833,145.2779033765766,146.42320240526047,149.41683124835612,145.2683344550144,146.41066319218743,149.4049756818114,144.86750881160066,146.03462624700933,149.04787782389369,0.0,144.31781194826004,146.14029403089535,0.0,0.0,144.29652943468437
14,146.00289638548634,146.88656390655885,149.63139731618534,145.99837021355003,146.88114956140652,149.62634927297768,145.9936574072852,146.874937884569,149.6204004418683,145.9835160569075,146.86257723477377,149.60879369945266,145.51067196551273,146.50942228307008,149.26439574440232,0.0,144.96164771091145,146.56180204108415,0.0,0.0,144.94021323306615
15,146.67440136608678,147.32809057190616,149.8435410219485,146.66969974220012,147.32265124485696,149.83841810733878,146.66541927631712,147.31708387855406,149.83269063467193,146.6559162241981,147.3053428584069,149.8215548571308,146.35762559341143,146.9718918778071,149.48912949424115,0.0,145.5609936681879,146.9738350809029,0.0,0.0,145.53982563332542
16,147.30891556204924,147.75917176323475,150.06221598016995,147.30426326860365,147.75434556091236,150.05759847901186,147.2990051183122,147.74868882358427,150.0520746121796,147.2883324958196,147.7374595465815,150.04105019182785,146.9176414419866,147.4197172617585,149.72015859406253,0.0,146.12117168546715,147.37655828105554,0.0,0.0,146.10011735324792
17,147.9093108970739,148.17941167325316,150.28732907777575,147.9047878998601,148.1744369853997,150.28255176414314,147.898614771797,148.16859955738167,150.27721120277792,147.88797345516613,148.157801647532,150.26655696155763,147.4442228931469,147.8541850021633,149.9562011960077,0.0,146.66276926135444,147.7684103930928,0.0,0.0,146.6260999848481
18,148.4801623285356,148.58714356575857,150.51660621886768,148.47459086948018,148.58278501728765,150.5119724299609,148.469522622577,148.57752186697232,150.5064179978545,148.45787208754783,148.56709831308763,150.49608933418128,147.93968688155772,148.27460001830767,150.19566794370868,0.0,147.15890372585702,148.14939989010065,0.0,0.0,147.12239492159563
19,149.02421864505445,148.98403837735864,150.7490980059353,149.01890418039815,148.97945121780626,150.74458676359066,149.01320995568162,148.9747968855835,150.73914443974277,149.00121731777332,148.96471236508302,150.7290955371193,148.4090524326716,148.68128656533588,150.43778488125477,0.0,147.6283700090598,148.5196668539713,0.0,0.0,147.5915953953328
20,149.54494203895055,149.370302474864,150.9835632277739,149.53888073032454,149.36543276580278,150.979153144756,149.5327611591855,149.36049241353604,150.9742261033198,149.52092574451316,149.35073021752203,150.96440994866356,148.85454370064042,149.07527954509362,150.68150554961372,0.0,148.07361240704398,148.87874491795722,0.0,0.0,148.03728491317472
21,150.0437454605623,149.74493421018627,151.21969989904343,150.03693417592297,149.74023138115857,151.21536991444827,150.03050423296747,149.73544788427054,151.21053378014085,150.01793911164023,149.7250177427614,151.2009031788991,149.46802795769713,149.4560039615654,150.92585115187086,0.0,148.4974104367798,149.22824772503083,0.0,0.0,148.46115620123624
22,150.5218136904122,150.1083718760025,151.45601499457172,150.51551366873468,150.10384811168933,151.45174421017742,150.50879469724205,150.09922844309094,151.44745542629127,150.49552464965836,150.08960035679544,151.43796411766766,149.87185925911243,149.82518543194112,151.16941759203323,0.0,148.90741539571795,149.5670682529413,0.0,0.0,148.8649419985896
23,150.98270706614008,150.46169176246073,151.69246799777977,150.9768596924422,150.45736389502588,151.68823632566458,150.96977554685893,150.45292026373122,151.68401933568856,150.95563417081337,150.44307724301706,151.674622264975,150.41794687697274,150.1821709371042,151.41282270323214,0.0,149.29876867655244,149.8954466259358,0.0,0.0,149.25108640695458
24,151.42753496756447,150.80548701505998,151.9282099759031,151.42051804123173,150.80137618533644,151.9242644450331,151.41365467326816,150.79597778421933,151.91983138031205,151.3990304309193,150.78647588678507,151.91048536406538,150.78760982734497,150.52865623041848,151.65434544229288,0.0,149.6681297016079,150.21497897479298,0.0,0.0,149.62081617421634
25,151.85649449943472,151.13962817459236,152.1630002410038,151.8494953738108,151.13515890522868,152.15878961980528,151.84265483373386,151.13052368810676,152.1540932204308,151.82706618152918,151.12080470523233,152.14531664037628,151.14130067881155,150.86467649618172,151.89438298846272,0.0,150.02274912622795,150.52447373583328,0.0,0.0,149.97538724958608
26,152.2718231265332,151.46427492236657,152.39558533146624,152.2645129189962,151.46005100326715,152.39194497521848,152.25660430614835,151.45500360284677,152.38723212895286,152.24094578204816,151.4456929111208,152.3784531463453,151.48124249834495,151.1905045830336,152.1318278749171,0.0,150.36348649706042,150.82582082023384,0.0,0.0,150.3158411899674
27,152.6730501087198,151.78054848275897,152.62650111777768,152.6658712780618,151.77594702328395,152.62285509779454,152.65810187452405,151.77111693182084,152.61841405970137,152.64083082980585,151.76161918414974,152.609595883584,151.80882526755988,151.50727061503432,152.36737307884408,0.0,150.69611802625906,151.11844727165823,0.0,0.0,150.64350552692898
28,153.06254178320657,152.08795352683546,152.85527918147528,153.0550870229199,152.08363706613375,152.85161212683624,153.046212892985,152.0790558386808,152.84713245662874,153.02907322274325,152.069380478907,152.83856061394096,152.2660583211871,151.81520702245342,152.59974500500846,0.0,151.01684094804452,151.40314311665205,0.0,0.0,150.95912741028351
29,153.43881342177974,152.3882417805259,153.08151591297508,153.4316229125501,152.38353802175362,153.07781345757962,153.42304131558504,152.3785329042147,153.07361266409254,153.40550499604726,152.36940079482625,153.06494820935052,152.5700918457878,152.11408383911245,152.82924074098682,0.0,151.32155773084233,151.67960477420075,0.0,0.0,151.26414312324474
30,153.8045714453286,152.6803094387726,153.30557064317938,153.79782755534882,152.6759386375988,153.30147198523312,153.7892742165725,152.67085908989867,153.29721488224797,153.77198691170813,152.66160983763496,153.28877472941417,153.01620249870012,152.40512361591715,153.055637716539,0.0,151.6155575596364,151.9485647616851,0.0,0.0,151.55826340545795
31,154.1605672770761,152.9653208901414,153.5265391619252,154.1538616576507,152.96094220667172,153.52272640510384,154.1458550658271,152.9561801508342,153.5183988364851,154.12868692453895,152.94607745601735,153.5098211919974,153.30019448967883,152.68880342376593,153.27913753210353,0.0,151.90474564120993,152.2107463224449,0.0,0.0,151.8431467823361
32,154.50715051185458,153.2435683968781,153.74460681437898,154.5018077420332,153.2388020007493,153.74072105498695,154.4936989708812,153.2340040882159,153.73668441136837,154.47625119878967,153.22419952147715,153.72831713206045,153.57531025423913,152.96505070109595,153.49932770070765,0.0,152.18466848115324,152.46612804529792,0.0,0.0,152.1187235664731
33,154.8460226663838,153.5150937723172,153.9597026585311,154.84125590671715,153.51074462859498,153.9561212063865,154.8332807811225,153.50551701616854,153.95200246797913,154.81604315807752,153.4956593245115,153.94346070791823,153.96186339308704,153.23424801138205,153.71619885582058,0.0,152.45155482322713,152.7146567470304,0.0,0.0,152.3862094680288
34,155.1768413135766,153.7804712324657,154.17223781127183,155.1728409152535,153.77574033208757,154.16857598143383,155.16470028971472,153.7704935727328,154.16436382377816,155.14767498624587,153.76061479042644,154.15602613579253,154.2207351073396,153.49691410034126,153.93020797194538,0.0,152.71113530172727,152.9573858920228,0.0,0.0,152.64532206884255
35,155.5010030014483,154.0395738603902,154.38151380900754,155.4968485574223,154.03488769916953,154.3777623622019,155.48932172925743,154.0296384125061,154.37386166776997,155.47192477720353,154.01977149485094,154.36531923432474,154.58363747324725,153.75331508105276,154.14032095208577,0.0,152.97034842656106,153.19385950346435,0.0,0.0,152.89714977893945
36,155.817291654983,154.2932403284121,154.58809546982758,155.81431833489646,154.28861750764108,154.58424558187397,155.80652819698705,154.28338303800385,154.58024485158592,155.7892396707204,154.27311567970384,154.57190668679868,154.82751117321098,154.00381710983004,154.34751590429516,0.0,153.21487139528665,153.42474287565005,0.0,0.0,153.14176416254267
37,156.12748294592237,154.54109984876044,154.7913600188395,156.12474545753216,154.53656072305327,154.7878466672674,156.1175065795293,154.5313603705382,154.78351544028166,156.0996514224084,154.52070354303393,154.77516971653876,155.0645588493881,154.24847283600997,154.55166242571144,0.0,153.45313210165978,153.64992872763693,0.0,0.0,153.3796459213745
38,156.43119401489497,154.78423300307472,154.99203408821882,156.42889464764204,154.77932086359658,154.9881920972847,156.4212518768189,154.7736984400005,154.98419291943023,156.40388180106854,154.76313910614664,154.9758359488533,155.40092640903148,154.48739600945214,154.75222009943772,0.0,153.68793944516364,153.87008468280504,0.0,0.0,153.61125441841483
39,156.729367115702,155.02194495957556,155.1895778787215,156.72707769506866,155.01714439224267,155.18585701072786,156.71985953001226,155.011581986823,155.18150418613675,156.7015968235345,155.00067079618992,155.17336917557233,155.72554383803867,154.72164740312812,154.94999252217426,0.0,153.917290917489,154.08509151146745,0.0,0.0,153.8366883061088
40,157.02115245869825,155.2550265887215,155.38440234651736,157.0197179714062,155.24985490853632,155.38056768280356,157.0121971342826,155.2443740577545,155.37608210179457,156.99375559653578,155.23362773774727,155.36769839827778,155.94450961237018,154.95063686486696,155.14428486506944,0.0,154.13702835323838,154.29562971650125,0.0,0.0,154.05672975760962
41,157.3077065606899,155.4833708454476,155.57601544878642,157.30668084717485,155.47834100975757,155.57206115714803,157.2990550502011,155.47244538604548,155.56793385929262,157.2808467292326,155.46139189686835,155.55953610258658,156.15790229965015,155.17467968163663,155.3357982856664,0.0,154.35478634070762,154.50116207620107,0.0,0.0,154.27097258161703
42,157.58898417777533,155.70716844824173,155.7649337229707,157.58822030075478,155.70203748029442,155.7613658677006,157.58069181752313,155.69625324581642,155.75710623021132,157.5621361179313,155.68517299549728,155.7486952331929,156.48300103272604,155.3941634468072,155.52411696613035,0.0,154.56708509052436,154.70237424877243,0.0,0.0,154.4802001047511
43,157.8649876519607,155.92667154602302,155.95124389626696,157.86467283173388,155.92144889910332,155.94755916927426,157.85779715610926,155.9157987983734,155.94316150932738,157.83891333287934,155.90472303262197,155.93473965772094,156.77850381058818,155.60955030736503,155.70956739524306,0.0,154.77133874473176,154.8991302404123,0.0,0.0,154.68474695391618
44,158.1365028407708,156.1424764246747,156.13480475247167,158.1368232952165,156.1371712164702,156.1309982771672,158.12974290206174,156.13139809023946,156.12672661655532,158.11090003109135,156.11980128790916,156.1182962794074,156.9771288977136,155.82062764301966,155.89228083830005,0.0,154.9739988153932,155.09214432642858,0.0,0.0,154.88414740153226
45,158.4029363163619,156.35412254710144,156.31576713946498,158.40408987066112,156.34874527292376,156.31183429384885,158.39735166696835,156.3428590807312,156.307420819398,158.37818942256956,156.33131810067758,156.29898576000213,157.2595440553651,156.02770227040048,156.0718988246161,0.0,155.17243540275436,155.28107092819192,0.0,0.0,155.0795192035911
46,158.66560103842875,156.56201603577762,156.4940419770701,158.66701534003894,156.55687134143116,156.48997853622674,158.66043744616607,156.55058767165573,156.48570185641378,158.64129364340425,156.53884345728093,156.4769829986158,157.53459451579997,156.23061195635646,156.24886379208877,0.0,155.3631456780518,155.4662070340888,0.0,0.0,155.27036027576713
47,158.92400310329683,156.7666318533322,156.66955711068417,158.92623349478785,156.76083999929727,156.66564977161937,158.91921804989414,156.75475746675403,156.66151918052984,158.90005579383984,156.74253043773078,156.6527971430316,157.7201571622718,156.43027787255417,156.4234066761001,0.0,155.5557534718882,155.64763823181033,0.0,0.0,155.4571715963766
48,159.17803560041915,156.96727940001475,156.84285352251683,159.1808704397061,156.9617491515713,156.83881473376314,159.17436255105935,156.95527588796597,156.83454264471098,159.15472382020715,156.9431867797947,156.8258232838637,157.90176361951873,156.62608066393477,156.59523336977523,0.0,155.73854996440912,155.8256807000864,0.0,0.0,155.64014427960305
49,159.42843855419454,157.16480635555203,157.01363223136184,159.4320461649832,157.15893158427025,157.00976301159113,159.4254179535575,157.15269483011215,157.00504106205332,159.40599762493687,157.14046446787574,156.99633044416507,158.16213556253336,156.8184868013504,156.764330459503,0.0,155.92037300988022,156.00020408601932,0.0,0.0,155.81898078714607
50,159.6752042469375,157.35886865229602,157.1822088112376,159.6793391739537,157.35329245116395,157.17789675845395,159.67315932924512,157.34699458265857,157.17364119958685,159.65345312069846,157.33400271385057,157.16463427830638,158.43552845497143,157.0074502662671,156.93099714588882,0.0,156.09842589380756,156.1715384837439,0.0,0.0,155.99466788345055
51,159.91791795534178,157.5501018342763,157.3479903611575,159.9231699448011,157.5441898351483,157.34417410618073,159.9167639217957,157.53784281944192,157.3394544571511,159.89706649124776,157.52474066369683,157.33046261076285,158.6059781841336,157.19352427900603,157.09527350834193,0.0,156.27044294224524,156.33979409133002,0.0,0.0,156.16665699655866
52,160.15747362284222,157.73820347706393,157.51197672341607,160.16358342701722,157.7322905520408,157.50770463169263,160.1575231788802,157.7255690081209,157.50315434277326,160.13768512750846,157.71271500335214,157.49418461213816,158.8513956976127,157.376428132167,157.25690958992254,0.0,156.44439076757672,156.5048460240217,0.0,0.0,156.33522925669328
53,160.3939656584141,157.92355079159572,157.6734426198006,160.40020428188694,157.91730437367517,157.66919685963467,160.39465440566207,157.910549676331,157.6644945280221,160.3749540920931,157.89729618995193,157.65555491159176,159.09160140446008,157.55617683407613,157.41659213806665,0.0,156.60967560351264,156.66705091996215,0.0,0.0,156.50071021463674
54,160.62705698694617,158.10586474134263,157.83280295853837,160.6344670330175,158.09963464862383,157.828587908769,160.6286807369437,158.0928584676504,157.82390011904286,160.6089494483223,158.07956377541063,157.81465982891555,159.2524834950193,157.73311245220077,157.57379431202122,0.0,156.77698392044712,156.82653800280653,0.0,0.0,156.6630357521889
55,160.8568689820192,158.28557632782258,157.99017564384917,160.86515837622733,158.27937479155904,157.98582254644992,160.85972873050707,158.27258898827586,157.98115360103162,160.83977339385345,158.25891989233574,157.97160720836317,159.48459641462844,157.90730054986795,157.72893941241767,0.0,156.9363514138442,156.98294256629092,0.0,0.0,156.82251971784012
56,161.08402745264794,158.4627995282945,158.14534688641692,161.0928764061126,158.45627271269177,158.14085357049223,161.08795267228015,158.4494900234282,158.13603146115605,161.06801598772583,158.43545731780804,158.12687929116169,159.71187889389748,158.07882370588808,157.8818289897118,0.0,157.09511413080097,157.13689745515867,0.0,0.0,156.97901251513844
57,161.3082525158902,158.637295493739,158.29827766417756,161.31780201555586,158.63081538391464,158.2940027119538,161.3130566792548,158.62367516984642,158.28938504370484,161.29339176876263,158.60966102082625,158.279570870044,159.8640193851663,158.2477820698473,158.03259915590505,0.0,157.2514422086152,157.28855582392816,0.0,0.0,157.1326924503213
58,161.52950462293967,158.80919948247885,158.44948959182133,161.54014532982808,158.80277922227037,158.44507724111762,161.53571278939694,158.7956597776956,158.44030866867973,161.5156068730892,158.78130971884266,158.43073094449568,160.10125764157365,158.41429388467364,158.181406474202,0.0,157.40225321685207,157.4372972717331,0.0,0.0,157.28373954597075
59,161.74825922430676,158.97905805016433,158.59880576061235,161.75964569918344,158.97232188035298,158.5942540591738,161.7556655004276,158.96523605603687,158.58951951647552,161.73582544401268,158.95056098111135,158.57963427487326,160.317710314683,158.57849598054054,158.32807586928834,0.0,157.55537258747208,157.58379107942812,0.0,0.0,157.43223154967637
60,161.9640155581894,159.1464795045609,158.74623558266063,161.9768007906074,159.13962387934154,158.74173357146725,161.97265276383067,159.13218973288056,158.73665654980144,161.95307501111202,159.11759504737174,158.72703084695362,160.5300657372705,158.74002122712358,158.47314545808212,0.0,157.70126449071014,157.72820803382652,0.0,0.0,157.57821594624176
61,162.17781292676233,159.31165680768228,158.8917981600766,162.19111973957453,159.30488911582935,158.8871568216727,162.18743719739604,159.29730558523667,158.88211692368836,162.16784225971705,159.2824151333179,158.8721863028784,160.73864221331522,158.8995491839122,158.61610474986276,0.0,157.8507357457916,157.86991551046768,0.0,0.0,157.72168204254382
62,162.38892013050716,159.4748067800396,159.03552254923602,162.4036716079296,159.46772981112926,159.03093823713834,162.40006250551463,159.4602079610474,159.0259405279575,162.38066332410423,159.4450334005605,159.01589826275705,160.8781149528579,159.056733208955,158.75715693599378,0.0,157.9917621608527,158.0096226851627,0.0,0.0,157.8629958554646
63,162.59764355555822,159.63575196924438,159.17744801005853,162.61346401839896,159.62857348138022,159.17272482911855,162.61005183686186,159.62091793231156,159.1677749044304,162.59054686736152,159.6054713131391,159.15762505653126,161.08071329017068,159.21176044667425,158.89652701800523,0.0,158.13510686459847,158.14724270978851,0.0,0.0,158.0019391557363
64,162.80377336744772,159.7945228270714,159.3178294870286,162.8208104696079,159.78746188090804,159.31317084933215,162.81799101759165,159.77946627192998,159.30806892586045,162.79884840733365,159.76418248839298,159.29761049826888,161.29540130476568,159.36465165863123,159.0340778094849,0.0,158.27174590105665,158.28296723522152,0.0,0.0,158.13886487839795
65,163.0082088669076,159.95137665963267,159.45652921788616,163.02605656385842,159.94423051579636,159.45173225177354,163.02396444350856,159.93632555079068,159.44647698852725,163.0045800370456,159.92058533005888,159.43612311100276,161.42828762848782,159.51581601537694,159.1698641802282,0.0,158.41074739889677,158.41642875070443,0.0,0.0,158.27333290801334
66,163.21022068628733,160.10659617354503,159.59340606243103,163.2292982825683,160.0991505278295,159.58868180429332,163.22722869193385,160.09113004586632,159.58348361126602,163.20835469202157,160.07515743133945,159.57282203928304,161.6847807517255,159.66492353558348,159.30395068246864,0.0,158.545325398008,158.5481088416523,0.0,0.0,158.40615647296258
67,163.4101890398477,160.25959268381922,159.72874756956742,163.4306461380071,160.25229486709625,159.72388610464694,163.4287113872758,160.24416491405728,159.71875084984194,163.40999208821572,160.22797186616418,159.70820905309262,161.81355062224358,159.8120205212137,159.43661343414124,0.0,158.67800937167954,158.67778421629924,0.0,0.0,158.53667157482056
68,163.60794355851854,160.41111170181767,159.8626472970893,163.62964347336765,160.4035198347902,159.85786661748006,163.62825064308635,160.39528696194907,159.85236159441337,163.6098805301927,160.3788864475311,159.8417327416857,162.00163751636305,159.9573619054485,159.5675366620001,0.0,158.81079593335343,158.8056656746789,0.0,0.0,158.6654478705696
69,163.80390253313254,160.56056416629332,159.99498713247888,163.82699450211325,160.5531406761961,159.99007040939009,163.82627027914063,160.54458003794863,159.9846327312962,163.80756872374042,160.5279850358731,159.97392093959965,162.18698179908637,160.1008189809004,159.69701350227965,0.0,158.93732784539097,158.93167657918437,0.0,0.0,158.79215796047777
70,163.9979164965894,160.70874097946316,160.12587292794626,164.02195482241208,160.70079364207717,160.1208190447154,164.02173219829328,160.69237406098733,160.1154545955455,164.00376622718528,160.67559646583476,160.1044387655428,162.3835065580911,160.2426717724041,159.8247262657051,0.0,159.0662338034425,159.05604101698583,0.0,0.0,158.91709441183767
71,164.19013797497325,160.85481412871297,160.25542228810488,164.215568256153,160.84705229612055,160.25023008464007,164.21566633337738,160.83831035952116,160.24471493795272,164.19773285086953,160.82136398069318,160.23362221420098,162.5636846659656,160.3830135640109,159.9512002067928,0.0,159.18944014318984,159.17884208177813,0.0,0.0,159.0402127248737
72,164.3804260070335,160.99960954995407,160.3832969325554,164.40740339141527,160.99156132410548,160.3781993370924,164.4079402903973,160.98273858659306,160.37253240188298,164.3902140731015,160.96563603325734,160.36160055233566,162.74118800231645,160.521310176592,160.07612586436946,0.0,159.31476554733482,159.29970291331426,0.0,0.0,159.16171891286805
73,164.56895057899763,161.14252850505594,160.50985431653007,164.59732207397587,161.13468689862898,160.50485750269974,164.59841916144285,161.12578959143923,160.49903761767007,164.58076871708755,161.10805327519714,160.48780584918967,162.91618959226344,160.65829288832126,160.19962072465268,0.0,159.43629472054351,159.4191715993636,0.0,0.0,159.28165773218183
74,164.7558970136263,161.2841933571597,160.63523736271372,164.78550205633798,161.27607146813207,160.63010659293883,164.78728337882112,161.26710677773323,160.62437334974453,164.76987852969606,161.2492332797591,160.61283916738182,163.03195318275635,160.79364735269493,160.32181311105296,0.0,159.5561854983353,159.5370299591583,0.0,0.0,159.39972619255704
75,164.95418788680925,161.42425055841483,160.759111872101,164.9721371777777,161.4158478905447,160.75384648493835,164.9744074007971,161.40682285976592,160.7482063274377,164.9574212712781,161.38882611740053,160.73661175392274,163.27202288988238,160.9274880485202,160.44261487811238,0.0,159.67650077888226,159.65337191615075,0.0,0.0,159.51648278623708
76,165.22423945761628,161.5628457761674,160.88187216279945,165.15711058804013,161.55441976163016,160.87647113523786,165.1596636110956,161.54534067614867,160.87068235937494,165.14327209322553,161.52697673744552,160.8590328487027,163.3846081478719,161.0599399776928,160.56216668841233,0.0,159.79143703654242,159.76829708343843,0.0,0.0,159.63136851624043
77,165.4934095232355,161.69987503077937,161.00318368056622,165.34063525925768,161.69143301031193,160.99789810389018,165.34391763772564,161.68230709063894,160.99195972966862,165.32763317976267,161.66384279721538,160.98026050792316,163.60622522836084,161.19068154497018,160.68015258641435,0.0,159.9085370789525,159.8815825556019,0.0,0.0,159.74494952972114
78,165.76222980860712,161.83576463121716,161.12346228863797,165.52260476295922,161.8273132101017,161.1180431148675,165.52640741811786,161.8178816262454,161.11195433556728,165.5103893472901,161.79906678778627,161.100210990238,163.7158137332286,161.32030351728616,160.79719049150577,0.0,160.02412350120576,159.99366063504323,0.0,0.0,159.85700433597694
79,166.03058128077765,161.9701588137522,161.24237344638746,165.7029113236197,161.96170544066743,161.23682012497136,165.7073550738062,161.9519678030354,161.2308389157453,165.6921018685164,161.93307715010556,161.21879879774554,163.94378918030145,161.44849303653962,160.91297411061515,0.0,160.1347403296501,160.10431295845314,0.0,0.0,159.96764816232488
80,166.29834313907034,162.10350650751718,161.36009211162758,165.88213580111255,162.0947842511599,161.35466651712622,165.88699999942835,162.08501283857757,161.34853678400933,165.87199202166715,162.0657874149828,161.33645987600966,164.0503513941634,161.5751606323726,161.02742627345648,0.0,160.247421541826,160.2134822052018,0.0,0.0,160.07703473241787
81,166.56574283447063,162.235451549923,161.4768061741113,166.1070879265128,162.22646012259378,161.47124853360455,166.06524843663647,162.2166623195276,161.46496964845454,166.05063657450935,162.19738460561246,161.45286192405544,164.26174682282775,161.70069833153514,161.14071519796144,0.0,160.3586471294542,160.321452821404,0.0,0.0,160.18474437553
82,166.83266901131344,162.36590211363665,161.59217625775557,166.363686531379,162.35692288959265,161.58648617076014,166.2423607227601,162.3471057677478,161.58032716677772,166.2279414868237,162.32751030965707,161.56792544877183,164.3655245127237,161.8250325873869,161.25277058397614,0.0,160.46509514674125,160.42817613178633,0.0,0.0,160.2913672389942
