D (km),h1=1.5_h2=1000,h1=1.5_h2=10000,h1=1.5_h2=20000,h1=15_h2=1000,h1=15_h2=10000,h1=15_h2=20000,h1=30_h2=1000,h1=30_h2=10000,h1=30_h2=20000,h1=60_h2=1000,h1=60_h2=10000,h1=60_h2=20000,h1=1000_h2=1000,h1=1000_h2=10000,h1=1000_h2=20000,h1=10000_h2=1000,h1=10000_h2=10000,h1=10000_h2=20000,h1=20000_h2=1000,h1=20000_h2=10000,h1=20000_h2=20000
0,117.89807631108948,138.05556170725288,144.08709284923384,117.77857810890048,138.04256464473917,144.0799660249533,117.64389652444174,138.02811476691335,144.07205261127456,117.36826659312284,137.9991869707589,144.0562420749098,0.0,137.0676051763079,143.5681067013383,0.0,0.0,137.8472847472924,0.0,0.0,0.0
1,120.48873311431365,138.03348718864126,144.05580532367733,120.46962197576794,138.0276420809666,144.0522071376244,120.44780698461108,138.02116271962055,144.04825645332207,120.4074425638681,138.00812016079405,144.0402838371851,120.00988019451243,137.57250170908952,143.79902033015637,0.0,121.61927283005916,140.2351789484478,0.0,0.0,121.72898977328173
2,124.20757262531326,138.08367160051793,144.0418599739217,124.20283659657149,138.0781516484385,144.03832297353904,124.1957177963762,138.07184989636733,144.03439443427368,124.193629882282,138.05938323904044,144.02654318957389,124.75971693096167,137.6449707426073,143.78830655909923,0.0,127.43434609446568,140.31001373749618,0.0,0.0,127.6276064507052
3,127.14659403210216,138.20615906660578,144.04608930845558,127.14269266194636,138.20092996385307,144.04260949519758,127.14154141384746,138.19517037665136,144.03874724111012,127.13473144860984,138.18330146213103,144.03103727777625,127.65093829344605,137.79958299075858,143.79701465827975,0.0,130.694567687854,140.44767929846233,0.0,0.0,131.0619850243676
4,129.4402370761424,138.39632851445702,144.068705979921,129.44018714447554,138.39129726562692,144.06532147014235,129.44040521614258,138.38584428121212,144.06150695247536,129.43819126252652,138.37538279476132,144.05395316450932,129.8197770366151,138.02545627435654,143.82524930931936,0.0,132.94255578907286,140.6433256123976,0.0,0.0,133.4533484554776
5,131.3094800063244,138.64662351325345,144.10972876161634,131.30808606814244,138.64222570267123,144.10637769406145,131.30824259776918,138.6375368944859,144.10267553578203,131.30727233760692,138.62750587794548,144.09538329398606,131.56289375688786,138.31288698423973,143.8728819044208,0.0,134.6287184842142,140.88754292539804,0.0,0.0,135.24112383321906
6,132.8808162817294,138.9484832214561,144.16900826365696,132.88111804971442,138.94466795926562,144.16578284264244,132.88059637786023,138.93989301795526,144.1620936829798,132.87796286534703,138.93032557201005,144.15486381657777,133.0222301912443,138.64965927265925,143.9393895181361,0.0,135.97013450138223,141.17054195291044,0.0,0.0,136.69912476090602
7,134.23887617207615,139.29101957557825,144.24525223171543,134.23594942473707,139.28785968489657,144.24221293011607,134.23583963104855,139.28371089148578,144.23870154861214,134.23357912779414,139.27492084961597,144.23186031973523,134.28353338101823,139.02380590097883,144.0240389928367,0.0,137.08627947216846,141.4824938999817,0.0,0.0,137.91628972085542
8,135.43168750549214,139.66485369977784,144.33720573491854,135.43139285858723,139.66113010861338,144.33420290260418,135.43046501177687,139.6575254386133,144.33093022442773,135.42787373257747,139.6497476543942,144.32438804909265,135.55898429253762,139.42414558510274,144.12607916462207,0.0,138.02668422777583,141.81449255522708,0.0,0.0,138.94518626205732
9,136.50254301283132,140.0594447199075,144.43950020142285,136.49961104386435,140.0560224799454,144.4366380690136,136.49812942815245,140.05218350978456,144.43371502182796,136.49614606962996,140.04518987765135,144.4278237178184,136.5391492807216,139.84148073421463,144.2438586748874,0.0,138.84835186193823,142.14941039466814,0.0,0.0,139.83689848983315
