D (km),h1=1.5_h2=1000,h1=1.5_h2=10000,h1=1.5_h2=20000,h1=15_h2=1000,h1=15_h2=10000,h1=15_h2=20000,h1=30_h2=1000,h1=30_h2=10000,h1=30_h2=20000,h1=60_h2=1000,h1=60_h2=10000,h1=60_h2=20000,h1=1000_h2=1000,h1=1000_h2=10000,h1=1000_h2=20000,h1=10000_h2=1000,h1=10000_h2=10000,h1=10000_h2=20000,h1=20000_h2=1000,h1=20000_h2=10000,h1=20000_h2=20000
0,107.66605708851642,127.7037130969223,133.72828331808378,107.54772331529765,127.69188046320198,133.72232092346496,107.41432589614207,127.67871475076336,133.71569167466367,107.141234181278,127.6523251709552,133.70241935506874,0.0,126.7833014387768,133.2768420564675,0.0,0.0,127.67584960947914,0.0,0.0,0.0
1,111.69178552975704,127.70389053222335,133.70181863292856,111.53005584682214,127.6721239370246,133.68580220723348,111.34851899871646,127.63690927333124,133.6680116683892,110.99134596032908,127.5661546658216,133.63237339950064,103.43530960116466,125.3432158936558,132.50638543055973,0.0,100.51391932577472,122.2997269903316,0.0,0.0,100.38011640998312
2,116.6201497731156,127.82903380147216,133.70699515617778,116.54605583843504,127.79817844892236,133.69104777528594,116.46042352882512,127.76348095102595,133.6733093029147,116.304584764003,127.69435433852516,133.63784839977947,112.39713217455846,125.51497873084531,132.51690837348585,0.0,106.744271838587,122.4250217106213,0.0,0.0,106.53495446300502
3,119.94613101407728,128.07200005151236,133.74301505037909,119.91440983821406,128.04221632389715,133.7272261075475,119.8821837058362,128.0091343091981,133.7096609167826,119.81254643368078,127.94225696314648,133.6745026678643,117.69640265672172,125.83373380535215,132.56347384821814,0.0,110.60144045455549,122.6612718737152,0.0,0.0,110.1604771310199
4,122.41773440248993,128.4200207413661,133.80983870370744,122.39950454180456,128.39142021096436,133.794314045011,122.37916245675466,128.3597720551604,133.77688227280015,122.33547364507328,128.29720919939015,133.74214364993756,121.03552754551735,126.30037556050569,132.64578947332134,0.0,113.4139400066952,122.99038000010964,0.0,0.0,112.7818549483296
5,124.37330615822192,128.85538034859496,133.90686702595815,124.3589346220159,128.8289457996346,133.89148907590163,124.34440446501684,128.7997747437082,133.87439975241955,124.3138379174881,128.7402337863341,133.84040331661822,123.47387763253516,126.87644505856476,132.7629907037945,0.0,115.6976240696192,123.39676583903024,0.0,0.0,114.8995941205336
6,125.98152019697892,129.34813828585774,134.0331700284787,125.97223283756703,129.3260104454255,134.01818711696234,125.96074898058173,129.30043548372996,134.00126491153765,125.93598292143436,129.24916456072444,133.96765576535617,125.34656121125091,127.52713662026778,132.91331246417133,0.0,117.63570959935304,123.86422936595916,0.0,0.0,116.63089798464372
7,127.34718339648114,129.87873761029496,134.1867684715475,127.33697387741628,129.85881262650676,134.1722589052868,127.32848806330924,129.83554492300456,134.1558098810572,127.30930020851002,129.78815270971845,134.1232059087011,126.82720751177555,128.22544241366265,133.09458663678234,0.0,119.32440245481848,124.37650130284928,0.0,0.0,118.12025423943253
8,128.5289170434382,130.44035349983454,134.3664008633665,128.52303935878393,130.42081998114193,134.3520351118284,128.51564809914964,130.3997414143491,134.33613432344464,128.49996363812633,130.35663175944202,134.3042860396208,128.10634271057253,128.94791706039896,133.30462318064193,0.0,120.84757678651285,124.9188443681364,0.0,0.0,119.44898041460333
9,129.57598929756958,131.0165930258518,134.56906397481586,129.5688696019636,130.99874906256343,134.55523073675687,129.5624174947144,130.97869818138892,134.5399380673639,129.55029089388466,130.93947135079213,134.50884535014356,129.20888731823595,129.67677766906232,133.54048061783033,0.0,122.22516578412504,125.51500012929333,0.0,0.0,120.64725866628896
10,130.51108926673058,131.59626506759125,134.79292954149332,130.50443899419952,131.5809590236205,134.77966844463992,130.50046983923295,131.5625508080014,134.76502929672583,130.48880829578104,131.52673013038,134.73518440801928,130.18351101685442,130.3969350700296,133.79938251025337,0.0,123.51312912049856,126.12817426972886,0.0,0.0,121.7372496321114
11,131.35709233467318,132.1724218585903,135.03285104615367,131.3513760946102,132.15846345283012,135.02066019289094,131.34591463399255,132.14144289277812,135.00784214140296,131.33474745981877,132.1085158390766,134.97933836471913,131.06125534654456,131.0936888775662,134.07771012808453,0.0,124.66651481229871,126.74266169468557,0.0,0.0,122.73996594544174
12,132.1292496512005,132.73819868652805,135.28081660820527,132.12517359280272,132.725362682605,135.26944651571472,132.12014150958476,132.71012246387352,135.256672195328,132.10972625518824,132.68023577997656,135.2310748248909,131.85724992989327,131.75227062435997,134.37218225540082,0.0,125.80025566250694,127.35249132195102,0.0,0.0,123.6831881677114
13,132.84084132118193,133.29122727311162,135.5419622568328,132.83602872796638,133.2779224515135,135.53080353100842,132.83184561797566,133.2643348441901,135.5186304221374,132.82163840578232,133.23712667502951,135.49423910192553,132.58649490155713,132.38601172441886,134.68019087726424,0.0,126.83874110059968,127.95228906971543,0.0,0.0,124.54835958112804
14,133.49982553105627,133.82647784867606,135.81345366729505,133.495487173812,133.81528185766194,135.8031684197343,133.49078059737133,133.80249711302028,135.79122604385876,133.4808091954175,133.77690387085235,135.7676601453525,133.25828019456404,132.9949604392974,134.99837213111,0.0,127.79316289526352,128.58642123434015,0.0,0.0,125.37944408510953
15,134.11231937742423,134.3447697044346,136.09379209363385,134.10809453351624,134.33413176859702,136.08363944946532,134.10408685866594,134.3227572105732,136.07224779477934,134.09535246167655,134.2992012899778,136.04981479605664,133.90794400727918,133.57940450649343,135.32461421087206,0.0,128.71585583380397,129.20938615607548,0.0,0.0,126.17013690127824
16,134.6864491290933,134.84502341175823,136.37960242317848,134.6824988517543,134.8356419256092,136.37034563755097,134.67786436622612,134.8247693377865,136.3594829334918,134.66863274010615,134.80302241067955,136.33771595382285,134.48923254579947,134.1375169780426,135.6560349595362,0.0,129.60451590694896,129.815090043044,0.0,0.0,126.90785991889676
17,135.22546170482346,135.32747708527984,136.67074478704862,135.2218173043088,135.31842947524643,136.66151862830108,135.21658358656975,135.30791485604308,136.65115828220618,135.20786646647184,135.28778877079205,136.6303990006547,135.0344467828614,134.67193526155717,135.987304423556,0.0,130.4352652425307,130.40121363482135,0.0,0.0,127.59987129704558
18,135.7340273396114,135.7908720739861,136.96428826660176,135.72960621087972,135.7829917144883,136.95548558450545,135.7255414747966,135.77365606040848,136.94511870823118,135.71634334314416,135.75500127950548,136.92530531098612,135.5463180053015,135.18273341923455,136.3106485325145,0.0,131.20464394078255,130.96783720928607,0.0,0.0,128.3007902940881
19,136.21507817121883,136.23769284747672,137.25907268646918,136.21101201541958,136.22998835524868,137.25066375409708,136.20654188814785,136.22182271451558,137.2407081127003,136.1974002937691,136.2045210934837,137.22177669596397,136.0302897086565,135.67116094575732,136.63431781882744,0.0,131.92437130364308,131.521306107659,0.0,0.0,128.961760685128
20,136.67209383013443,136.64543937714035,137.55360281196477,136.66747109417756,136.6397648983703,137.54555657614327,136.66274752696046,136.63388215433568,137.5365129701938,136.65404530056787,136.62215779204809,137.51839636443,136.46611497727903,136.13921391859313,136.9569803979705,0.0,132.61419815579202,132.0977276521661,0.0,0.0,129.5878967086269
21,137.10668346866507,137.03722622217697,137.84758939567723,137.1014821000784,137.0319966740602,137.83987542158252,137.09658062421178,137.0265764669722,137.83120327668007,137.0874906814541,137.0147491134851,137.81383264427595,136.91852982633517,136.5868877995794,137.2774346999433,0.0,133.2834087215714,132.65465114418035,0.0,0.0,130.18110208233483
22,137.52022230558234,137.4150638814409,138.13927896720685,137.51551093620753,137.4102750190927,138.13186610885143,137.51042564844414,137.40530626866962,138.12412146305107,137.50092776833927,137.39487955832757,138.10742897159648,137.3306122132172,137.01681225824478,137.59396580174257,0.0,133.91539957123965,133.19049148514546,0.0,0.0,130.7570932673362
23,137.91608776342065,137.78031340103135,138.4287375722958,137.91178284121906,137.77596757558797,138.42159622860416,137.9064250062865,137.77144667258867,138.414183212507,137.8963372501099,137.76133107288064,138.39810168788864,137.73984185881824,137.42875870189346,137.90750580857633,0.0,134.51178450504702,133.70584955611207,0.0,0.0,131.34272414854647
24,138.29548769693105,138.13379769421766,138.7150423638072,138.2901780450771,138.1299028981385,138.7084661197962,138.28502353176896,138.1246539474289,138.7010298821972,138.27464009438663,138.1153963068227,138.6854948951574,138.11573637414511,137.82515637293798,138.21597461935073,0.0,135.0742858249064,134.2034423305538,0.0,0.0,131.9011689252389
25,138.6588344952223,138.47557475137384,138.9980212063331,138.65350845069736,138.47153045427166,138.9913375530843,138.64836156898963,138.4673061897754,138.9838194534377,138.63723703055132,138.4583094308551,138.96944272336236,138.47480324619272,138.19099443227657,138.5200276172622,0.0,135.60813666994576,134.68164028849824,0.0,0.0,132.4341807338512
26,139.00824849298093,138.805985922041,139.2762922938041,139.00260103337334,138.8023992316783,139.27049653607824,138.99652139688416,138.79798633366946,139.26319029909357,138.98537388075877,138.78986632440484,139.24926721476209,138.81937189726193,138.53658842487474,138.81841039095903,0.0,136.11535372534374,135.14359519140888,0.0,0.0,132.94373034610834
27,139.34354895222504,139.12632957668208,139.5506239649965,139.33792027193272,139.12255974386065,139.5450189873087,139.33189935426049,139.11858911515273,139.5382602156734,139.31940465056218,139.1107195551274,139.52473508213538,139.15091060076625,138.87078224268052,139.1121385572147,0.0,136.5993089143406,135.59262134290242,0.0,0.0,133.43215062693884
28,139.6669229941689,139.43624725434245,139.82057570542574,139.6609372756237,139.43295630737384,139.81513809653703,139.65391792646233,139.42944883331418,139.80855064475872,139.64149265997267,139.42182338789755,139.79574822237026,139.4843724027602,139.19400728313676,139.3997672393587,0.0,137.06123276686526,136.04572894282057,0.0,0.0,133.90043446440777
29,139.977351628116,139.73763161824996,140.08578840455036,139.97140786021873,139.734136557956,140.08049610710125,139.96451642167165,139.7304074108164,140.0744458381503,139.95166735852706,139.7237345220185,140.06195319008097,139.79118519554885,139.5061958983385,139.68181162740777,0.0,137.49512518965642,136.48194663724996,0.0,0.0,134.3788808305673
30,140.27725951873686,140.02949027913863,140.346792326962,140.27143919251222,140.02650605721013,140.34122145526965,140.26441115891885,140.02290046776238,140.3353084198534,140.25159951511571,140.01650095879157,140.32348344153107,140.10316597259992,139.80878031218612,139.95813541491927,0.0,137.89956108624335,136.90270270194782,0.0,0.0,134.85063663140082
31,140.5673797656544,140.31309606073472,140.6026411008297,140.56128025538845,140.31027526532287,140.5975794742671,140.55449005275008,140.30717661432536,140.59178243560845,140.5415483621946,140.3003052324381,140.5801917299404,140.38895810284015,140.1023900553322,140.22911385569478,0.0,138.2893199422486,137.3093787966627,0.0,0.0,135.30515583528293
32,140.84807638249254,140.58883476000912,140.85365633562398,140.84271773832,140.58579613049756,140.84868254918828,140.83560269630277,140.582845570365,140.84341164099567,140.82216403324787,140.57663790007504,140.83244577734465,140.66544200023935,140.38707288233508,140.49437076620018,0.0,138.66355335930825,137.70218343061757,0.0,0.0,135.7422434160337
33,141.12080852094076,140.85683647391696,141.09985507827045,141.11551613962254,140.8543713061793,141.09539588600592,141.1082407339611,140.85117542427008,141.09021560795932,141.09466108312577,140.84527115349238,141.0794199218864,140.94515150952066,140.6633368349521,140.7540162987054,0.0,139.02157905489074,138.08128150336822,0.0,0.0,136.16355101154014
34,141.38539789213937,141.1177492404746,141.3417970978911,141.3802930529019,141.1150652196589,141.33740710738348,141.3725950404172,141.1120250033031,141.332300186012,141.35883655578155,141.10644525736797,141.32209696462638,141.20461594303757,140.9318161282186,141.0087071788458,0.0,139.36711063940064,138.44850954204102,0.0,0.0,136.5696419641414
35,141.64306060559565,141.37152368071364,141.5787734963121,141.63738196892956,141.36903636491633,141.57443832642173,141.62985425209874,141.36616347763774,141.56985831534507,141.61541495515058,141.36093129459658,141.559771765133,141.4672303874809,141.19287446912375,141.25732200808744,0.0,139.7017839139723,138.80339693807346,0.0,0.0,136.96194100593848
36,141.89293340181942,141.6190498104274,141.81150611793154,141.88770287162615,141.61677319012026,141.8072125779858,141.8796253265404,141.61408029845362,141.802688065073,141.8648448818102,141.6087845039307,141.7931711958492,141.71101873992075,141.44696802771125,141.5011219504006,0.0,140.02253836763174,139.1471574078872,0.0,0.0,137.34050631708638
37,142.13651400896296,141.86002935581718,142.03504037531812,142.1309497446259,141.85797887697618,142.03230550771943,142.12293263855065,141.85548029816977,142.02876758569047,142.10724229589374,141.85012579285754,142.02167502013003,141.9476728130973,141.69422711868145,141.7400434889568,0.0,140.33292536061558,139.47983533659584,0.0,0.0,137.7064311431651
38,142.3735884595769,142.095570555949,142.2460110694876,142.36780995976915,142.09330060803322,142.2430391480664,142.35907957308572,142.090550595764,142.2399715337832,142.3432553427197,142.08560404952323,142.23338066907908,142.1887615692411,141.93483905441053,141.9735454136155,0.0,140.63322833078476,139.80260973614216,0.0,0.0,138.06073703613492
39,142.5906273072353,142.32505403022935,142.45298244008845,142.5986063442425,142.3230310064092,142.4502440099579,142.58977345522098,142.32049408456425,142.44692385238292,142.57270699794557,142.31551427366247,142.44080114914934,142.42278591467002,142.16993503607503,142.2026474751229,0.0,140.92474302071713,140.11548699963186,0.0,0.0,138.4197680203723
40,142.76796413328736,142.54929489140872,142.6571817434812,142.82374062987498,142.54705133610065,142.65442397328857,142.81421343134355,142.54474429422984,142.65107527450732,142.79641267334137,142.54022413381605,142.64491415378782,142.64052880588883,142.39898055178236,142.4274378236851,0.0,141.2055630745175,140.4196269827838,0.0,0.0,138.77032455054177
41,142.91048888996312,142.7682368710892,142.8597179198002,143.04318169045783,142.7662636559385,142.85692316061332,143.03308049285815,142.7637074143155,142.85405622898045,143.01481196980953,142.75918647777826,142.8480873304743,142.85245036757806,142.6223476820618,142.65123481699152,0.0,141.47898607324063,140.70664470207544,0.0,0.0,139.1095793872747
42,143.02181114148732,142.98210783382711,143.0628639751403,143.25719443519822,142.98016944209704,143.06058958832236,143.24663882359306,142.97786613382422,143.05770231167983,143.22741492039842,142.97360903656545,143.0519598360228,143.07105342743742,142.84047388773232,142.87454977967377,0.0,141.7440740799737,140.98394283830157,0.0,0.0,139.43855703521209
43,143.10507554912817,143.19119044498717,143.26152249479753,143.46610071151588,143.1892940526633,143.2592224925108,143.45547068735286,143.18726189781023,143.2562959367064,143.4352584605088,143.18329317024848,143.2507593275571,143.28195986545066,143.05386355889965,143.07869106878894,0.0,142.00069431248482,141.25934519447625,0.0,0.0,139.7580943563852
44,143.16316042872324,143.39665213069486,143.45968201293664,143.67055062161847,143.39480589242993,143.45734763017268,143.65916353496652,143.3928004298865,143.45466397224962,143.63818999511037,143.38862099276344,143.44933456122868,143.47842959394222,143.2631256854328,143.28224869205675,0.0,142.2510131424035,141.53992742408957,0.0,0.0,140.06775750487358
45,143.19822826410928,143.59939358844613,143.65498494423642,143.87016562008657,143.59760867405723,143.65262125755692,143.85839036349105,143.59564342665252,143.64990331509296,143.83633646993152,143.59181548177767,143.64480372061035,143.6790537867586,143.47019280553383,143.4831237271799,0.0,142.4949048292032,141.8106252627698,0.0,0.0,140.369076134256
46,143.2124122710752,143.80140334013294,143.8478747236465,144.06540705078868,143.7999704315648,143.84546529684707,144.0530668408255,143.79776417215558,143.84300403075548,144.0301298900407,143.79402025142477,143.8378139075572,143.87496761808094,143.6754244084154,143.68095856395522,0.0,142.73089596317814,142.08329298114106,0.0,0.0,140.66155915041253
47,143.09914541315277,143.9987555380638,144.03671580249522,144.25679298887792,143.99682723318728,144.03457873364016,144.24340714366338,143.99495936332872,144.03238813906708,144.21950543789978,143.99103821836303,144.02742143212186,144.05777168198782,143.87641546318574,143.87544960880186,0.0,142.96269434339052,142.34751919094077,0.0,0.0,140.9462416439167
48,142.94595308795903,144.1942123886219,144.22431016336205,144.44379242620911,144.19266927310025,144.22212661576788,144.43000732325302,144.19056727627566,144.2198918628119,144.40474869594954,144.18707861131298,144.21514258241234,144.23643223935113,144.0758132129939,144.06774909468146,0.0,143.18681834816874,142.60831601890908,0.0,0.0,141.22306992187902
49,142.77072183099506,144.38659643486554,144.40877931984656,144.62788026292938,144.3848424037573,144.40687958475894,144.61319236466468,144.38310964710928,144.40427068348748,144.58702649624323,144.3797525285031,144.3997508971719,144.41965463714132,144.2709053119423,144.2569376544566,0.0,143.4061980659248,142.8625300251483,0.0,0.0,141.49229502264558
50,142.58093657977673,144.5759176740698,144.59024578805767,144.81000714819336,144.57458392277553,144.58796291464665,144.7947791656185,144.57293708504142,144.58596156712645,144.7672767151912,144.56912398443893,144.58133207124564,144.60077516660635,144.46326257901433,144.44247663831445,0.0,143.6201385606998,143.11476346288697,0.0,0.0,141.75506297590624
51,142.3499618073995,144.76159586985054,144.76961695100584,144.99054285858978,144.76005664707256,144.76796441797916,144.9742979529445,144.75849600774106,144.76556551240174,144.94571386353917,144.75484480519003,144.76116091692,144.76775687701735,144.65185617394496,144.62632677800377,0.0,143.82840433724442,143.35771065068118,0.0,0.0,142.01079114350114
