D (km),h1=1.5_h2=1000,h1=1.5_h2=10000,h1=1.5_h2=20000,h1=15_h2=1000,h1=15_h2=10000,h1=15_h2=20000,h1=30_h2=1000,h1=30_h2=10000,h1=30_h2=20000,h1=60_h2=1000,h1=60_h2=10000,h1=60_h2=20000,h1=1000_h2=1000,h1=1000_h2=10000,h1=1000_h2=20000,h1=10000_h2=1000,h1=10000_h2=10000,h1=10000_h2=20000,h1=20000_h2=1000,h1=20000_h2=10000,h1=20000_h2=20000
0,107.75537609040695,127.8011645867254,133.82614666801453,107.63696084256124,127.7892504783907,133.82010279872785,107.5034735794186,127.775994921959,133.81338370596455,107.23020430992362,127.74942778752757,133.7999338317199,0.0,126.8760400422116,133.36999251918718,0.0,0.0,127.76086757698314,0.0,0.0,0.0
1,110.31926381524988,127.77820536120856,133.79462960772506,110.30110879148182,127.77344730868964,133.79211513005663,110.28034027413962,127.7681630493823,133.7893604672298,110.24198298895672,127.75748942356486,133.7837501563955,109.57840371722428,127.38023875961684,133.60073999533498,0.0,111.52776255457138,130.14872875887286,0.0,0.0,111.64861670097666
2,113.98472740546032,127.82571115967636,133.7799874449868,113.98094344735074,127.8212840233092,133.7775381959732,113.97488277311714,127.81619359427803,133.7748090751592,113.97466116229188,127.80611447636416,133.76932684853517,114.3282408632144,127.45059965512831,133.58952290905805,0.0,117.34283579447104,130.22346420010703,0.0,0.0,117.54723337619872
3,116.86378240858625,127.94371661433586,133.78304635358387,116.86098750294536,127.9395988711281,133.78065903398684,116.86094315089574,127.93506249144949,133.77800132885508,116.85640683224116,127.92562218035624,133.7726722836635,117.21946305931296,127.6017024691127,133.59738460050988,0.0,120.59823375570797,130.3609654756125,0.0,0.0,120.98161195550756
4,119.0954503744568,128.1276573745733,133.80401010240757,119.0966173009915,128.12376696689606,133.8017244474836,119.09811713069918,128.11956699675494,133.7991249816531,119.09849028946192,128.11156776890002,133.7939693301241,119.38830310432807,127.82272671161344,133.62442567460832,0.0,122.8462218687105,130.55638522460453,0.0,0.0,123.3727661017091
5,120.90167667664132,128.37007794097357,133.84289520214674,120.90176035021084,128.36684385617724,133.84065558999558,120.9034179828808,128.36343148570728,133.83817815665128,120.90542949034337,128.3559431820919,133.83330224046998,121.13142164715448,128.10406324203353,133.6705154610588,0.0,124.53238459616396,130.80031784374052,0.0,0.0,125.1605414950994
6,122.40956936219987,128.66254096285232,133.89955003139218,122.41149808998604,128.65991719120106,133.897446796019,122.41272902100778,128.65647182812495,133.8949995380105,122.41358985281886,128.64953286917353,133.89021895837263,122.59076049438517,128.43362461336002,133.73513552773832,0.0,125.87380065892918,131.08297855814172,0.0,0.0,126.6185424440516
7,123.70384032511734,128.99433409471908,133.9733148220322,123.7029158046336,128.9923988358984,133.97137584559582,123.7047653766724,128.9896195114773,133.96908258449986,123.7064344266299,128.9835518671272,133.96464790150398,123.85206673008013,128.79957038456064,133.81755810953507,0.0,126.98994569012422,131.39454382338587,0.0,0.0,127.83570740847536
8,124.83286312146112,129.3562087440702,134.0638381620948,124.83465506131353,129.3537857909245,134.06188306212658,124.83595766716452,129.3515971167603,134.05976923060797,124.83776597346304,129.34663681253744,134.05552759612226,124.98173608153787,129.19085481587786,133.91703513940092,0.0,127.93035054355404,131.72611278611978,0.0,0.0,128.8646039825702
9,125.83957770132164,129.73783000483886,134.1698663928158,125.83911419474184,129.73576042995742,134.1680774629369,125.8401267067786,129.73341292260417,134.16616245545563,125.84295643529104,129.72934566161123,134.16207598161554,125.96190557606435,129.5984013500753,134.0324457543547,0.0,128.75201827327,132.06056170468068,0.0,0.0,129.756316233114
10,126.74335178584292,130.13149345174466,134.29069019258992,126.74341061595524,130.13040070194373,134.28907895508937,126.74490776375735,130.12832915897064,134.28737640887582,126.74633512652277,130.12491448190298,134.28367665799544,126.8407851159374,130.0136515117806,134.16270931115545,0.0,129.47804976648635,132.3990000453579,0.0,0.0,130.54733678766237
11,127.56443361276546,130.53188871384282,134.42542219490213,127.56492917515509,130.53102027028743,134.42362261202985,127.56636186984224,130.5291011210182,134.42208683458531,127.56875957802583,130.5260926995124,134.41843458107178,127.6413149861018,130.4324921526397,134.30626754670652,0.0,130.13385125201867,132.7403174749501,0.0,0.0,131.25201821460732
12,128.3165593960917,130.93345406528712,134.5725389596605,128.31832673167222,130.9327057405595,134.57106779354166,128.31979166630182,130.93127959778647,134.56938967713913,128.32208956009117,130.92890126632994,134.5660225245282,128.3739916950465,130.8504588839927,134.4616546332355,0.0,130.71739017761362,133.08130838531727,0.0,0.0,131.8851432362865
13,129.01186129141078,131.3336236414504,134.73074354224366,129.01269419715905,131.33189073651923,134.72923085598416,129.01472570091542,131.3309425938703,134.72773188377334,129.01663412279964,131.32907136386265,134.72472674489003,129.05033969348338,131.2626279241731,134.62769349863186,0.0,131.25598438958914,133.41905245959845,0.0,0.0,132.46676182613442
14,129.65753032605943,131.7278242836385,134.8984307460738,129.65870116830575,131.727040035013,134.8972788905484,129.66005504108023,131.7260157645925,134.89572531180508,129.66179179868934,131.72400113905027,134.89283917646546,129.67736618244035,131.6678292435714,134.80272607487777,0.0,131.7591247955842,133.74188884541886,0.0,0.0,132.99459273330328
15,130.25911314936906,132.11574037061638,135.0747466997772,130.26034381014694,132.1148203353855,135.0734929488377,130.2623003751199,132.1142337473221,135.07207857931112,130.26500701227027,132.11250397823943,135.06949554654594,130.30402492958115,132.06509623133323,134.985701294289,0.0,132.2245463031502,134.05744293734062,0.0,0.0,133.47978848456486
16,130.82425177721717,132.49572803261154,135.25759072287727,130.825765005589,132.4952523240987,135.25672038560216,130.82708985815364,132.49447835092863,135.25543186050277,130.82919545864672,132.49297937851173,135.25285374540906,130.85204114616923,132.4520389278388,135.17506758103357,0.0,132.6577298198623,134.3672618793628,0.0,0.0,133.93386803794502
17,131.35587881025134,132.86719430533478,135.44686364934094,131.35776259018274,132.8665077397487,135.4458207640798,131.35854050592474,132.865482786135,135.4446429945582,131.3611557523257,132.86418123612634,135.4422889405666,131.3681070126747,132.82940280925908,135.3699304268428,0.0,133.07390565397597,134.6701327065474,0.0,0.0,134.36086997312287
18,131.85838813919275,133.2284501503623,135.6406238593307,131.859623027196,133.22824489199564,135.63966490724704,131.8616548067446,133.2276538637084,135.638264011949,131.86389702398213,133.22653294309785,135.63610121172894,131.85430506804545,133.19626064737557,135.56921749276685,0.0,133.46440098263443,134.9660330451452,0.0,0.0,134.74954965385507
19,132.3345054473571,133.580791346113,135.8380258808908,132.33625652039305,133.58033205743365,135.83713561382436,132.3380346776309,133.5802223769087,135.8357887880062,132.34052498742156,133.57928137019974,135.83378366186992,132.31541417858963,133.55260466920424,135.77182109762046,0.0,133.83711356747293,135.2540891655762,0.0,0.0,135.11789505361307
20,132.78753363138674,133.92695472127266,136.03796684118203,132.78894103296022,133.92597878343545,136.03712982025297,132.79065985346676,133.9253184236574,136.0361844464481,132.7938607225222,133.92406722538186,136.03430278082675,132.7663250605111,133.89908995853324,135.9768274684089,0.0,134.1917619378577,135.52815749475636,0.0,0.0,135.4686846392459
21,133.21894863483956,134.2631463327136,136.2401381871402,133.22003037932814,134.26230430030807,136.23933923641587,133.22180607304858,134.2617653771723,136.23843729533704,133.22497090170367,134.25987367653127,136.23664497342173,133.21574781979348,134.23498960423362,136.18336685735628,0.0,134.52970223451783,135.7964694859989,0.0,0.0,135.80299864261468
22,133.63000940847434,134.58951365076646,136.44252492819788,133.63186783913227,134.58882531252925,136.4417643051971,133.6337338819121,134.58842384554524,136.44131493451363,133.63691096482157,134.58723029032095,136.43961038506336,133.6148816169192,134.56163433908267,136.39017579672105,0.0,134.85669972742522,136.05810819095998,0.0,0.0,136.11987967856265
